"N","CPMS","Denominacion_Procedimientos","II_NIVEL","III _NIVEL"
651,"27570",Manipulacion de articulación de la rodilla bajo anestesia general (incluye Aplicación de traccion o de otros dispositivos de Fijación),"104.03","104.26"
652,"27580","Artrodesis, rodilla, cualquier técnica","181.91","182.29"
653,"27590","Amputación, muslo, a través del fémur, cualquier nivel","148.57","148.85"
654,"27592","Amputación, muslo, a través del fémur, cualquier nivel; abierta, circular (guillotina)","148.57","148.85"
655,"27598",Desarticulación a nivel de la rodilla,"230.49","230.71"
656,"27600","Fasciotomía descompresiva, pierna; compartimientos anteriores y/o laterales solamente","275.31","275.5"
657,"27601","Fasciotomía descompresiva, pierna; compartimientos posteriores solamente","275.31","275.5"
658,"27602","Fasciotomía descompresiva, pierna; compartimientos anteriores y/o laterales, y posteriores solamente","275.31","275.5"
659,"27603","Incisión y drenaje, pierna o tobillo; absceso profundo o hematoma","172.53","172.83"
660,"27604","Incisión y drenaje, pierna o tobillo; bolsa sinovial infectada","172.53","172.83"
661,"27605","Tenotomía, percutánea, tendón de Aquiles (procedimiento separado); anestesia local","192.12","192.35"
662,"27606","Tenotomía, percutánea, tendón de Aquiles (procedimiento separado); anestesia general","192.12","192.35"
663,"27610","Artrotomía, tobillo, incluyendo Exploración, drenaje, o Extirpación de cuerpo extraño","144.8","144.99"
664,"27615","Resección radical de tumor (p. ej. neoplasia maligna), tejido blando de pierna o región del tobillo; menor de 5.0 cm","199.87","200.25"
665,"27616","Resección radical de tumor (p. ej. neoplasia maligna), tejido blando de pierna o tobillo, 5.0 cm o mayor","199.87","200.25"
666,"27618","Esxision, tumor, tejido blando de pierna o región del tobillo; tejido subcutáneo; menos de 3.0 cm","195.86","196.18"
667,"27620","Artrotomía, tobillo, con Exploración de articulación, con o sin biopsia, con o sin Extirpación de cuerpo suelto o de cuerpo extraño","195.18","195.46"
668,"27630","Escisión de lesión de vaina tendinosa o cápsula (p ej quiste o ganglion), pierna y/o tobillo","176.25","176.49"
669,"27635",Escisión o legrado de quiste óseo o tumor benigno; tibia o peroné,"147.67","147.94"
670,"27640","Escisión parcial (craterizacion, saucerizacion, o diafisectomía), hueso (p ej Osteomielitis); tibia","196.1","196.38"
671,"27641","Escisión parcial (craterizacion, saucerizacion, o diafisectomía), hueso (p ej osteomielitis); peroné","196.1","196.38"
672,"27645","Resección radical de tumor, hueso; tibia","281.46","281.75"
673,"27646","Resección radical de tumor, hueso; peroné","281.46","281.75"
674,"27650","Corrección, primaria, abierta o percutánea, ruptura del tendón de Aquiles","173.11","173.27"
675,"27656","Corrección, defecto fascial de la pierna","144.55","144.74"
676,"27658","Corrección, tendón flexor, pierna; primaria, sin injerto, cada tendón","192.33","192.52"
677,"27664","Corrección, tendón extensor, pierna; primaria, sin injerto, cada tendón","192.33","192.52"
678,"27680","Tenolisis, tendón flexor o extensor, pierna y/o tobillo; un solo tendón, cada tendón","178.14","178.42"
679,"27681","Tenolisis, tendón flexor o extensor, pierna y/o tobillo; varios tendones (a través de distintas Incisiónes)","178.14","178.42"
680,"27685","Alargamiento o acortamiento de tendón, pierna o tobillo; un solo tendón (procedimiento separado)","196.1","196.38"
681,"27686","Alargamiento o acortamiento de tendón, pierna o tobillo; varios tendones (a través de la misma Incisión), cada uno","196.1","196.38"
682,"27687",Recesion de músculos gemelos (p ej procedimiento de Strayer),"192.33","192.52"
683,"27690",Transferencia o trasplante de un solo tendón (con cambio de direccion o de ruta del músculo); superficial (p ej Extensores tibiales anteriores al pie medio),"299.45","299.73"
684,"27691","Transferencia o trasplante de un solo tendón (con cambio de direccion o de ruta del músculo); profundo (p ej tibial anterior o tibial posterior a través del espacio interóseo, flexor largo común de los dedos, flexor largo del dedo gordo, o tendón peroneal hacia el retropie y la parte media","196.1","196.38"
685,"27695","Corrección, primaria, ligamento lesiónado, tobillo; colateral","143.54","143.7"
686,"27696","Corrección, primaria, ligamento lesiónado, tobillo; ambos ligamentos colaterales","143.54","143.7"
687,"27700","Artroplastía, tobillo","233.93","234.22"
688,"27704",Remoción de implante de tobillo,"173.11","173.27"
689,"27705",Osteotomía; tibia,"181.91","182.29"
690,"27707",Osteotomía; peroné,"181.91","182.29"
691,"27709",Osteotomía; tibia y peroné,"181.91","182.29"
692,"27715","Osteoplastía, tibia y peroné, alargamiento o acortamiento","278.02","278.24"
693,"27727","corrección de pseudoartrosis congénita, tibia","357.57","357.72"
694,"27730","Paro epifisario (epifisiodesis), cualquier método; tibia distal","192.33","192.52"
695,"27732","Paro epifisario (epifisiodesis), cualquier método; peroné distal","192.33","192.52"
696,"27734","Paro epifisario (epifisiodesis), cualquier método; tibia distal y peroné distal","192.33","192.52"
697,"27750",Tratamiento cerrado de fractura de la diáfisis tibial (con o sin fractura del peroné); sin manipulacion,"47.7","47.73"
698,"27752","Tratamiento cerrado de fractura de la diáfisis tibial (con o sin fractura del peroné); con manipulacion, con o sin traccion esquelética","47.94","47.98"
699,"27756",Fijación esquelética percutánea de fractura de la diáfisis tibial (con o sin fractura del peroné) (p ej clavijas o tornillos),"173.11","173.27"
700,"27758","Tratamiento abierto de fractura de la diáfisis tibial, (con o sin fractura del peroné) con placa/tornillos, con o sin cerclaje","196.1","196.38"
701,"27780","Tratamiento cerrado de fractura de peroné proximal, o diáfisis del peroné; sin manipulación","65.83","65.83"
702,"27781","Tratamiento cerrado de fractura de peroné proximal, o diáfisis del peroné; con manipulación","71.82","71.82"
703,"27784","Tratamiento abierto de fractura de peroné proximal, o diáfisis del peroné, incluye Fijación interna, cuando se realice","178.14","178.42"
704,"27786",Tratamiento cerrado de fractura del peroné distal (maléolo lateral); sin manipulación,"65.83","65.83"
705,"27788",Tratamiento cerrado de fractura del peroné distal (maléolo lateral); con manipulación,"71.82","71.82"
706,"27792","Tratamiento abierto de fractura del peroné distal (maléolo lateral), incluye Fijación interna, cuando se realice","178.14","178.42"
707,"27822","Tratamiento abierto de fractura trimaleolar del tobillo, incluyendo Fijación interna, cuando se realice, maléolo medial y/o lateral; sin Fijación de labio posterior","175.24","175.44"
708,"27824","Tratamiento cerrado de fractura de la porción articular de la tibia distal que soporta carga axil (p. ej. pilón o plafón tibial), con o sin anestesia; sin manipulación","65.83","65.83"
709,"27825","Tratamiento cerrado de fractura de la porción articular de la tibia distal que soporta carga axil (p. ej. pilón o plafón tibial), con o sin anestesia; con tracción esquelética y/o con requerimiento de manipulación","71.82","71.82"
710,"27826","Tratamiento abierto de fractura de la porción de la superficie articular de la tibia distal que soporta carga axil (p. ej. pilón y plafón tibial), con fijación interna, cuando se realice; sólo de peroné","1090.48","1090.48"
711,"27827","Tratamiento abierto de fractura de la porción de la superficie articular de la tibia distal que soporta carga axil (p. ej. pilón y plafón tibial), con fijación interna, cuando se realice; sólo de tibia","1090.48","1090.48"
712,"27828","Tratamiento abierto de fractura de la porción de la superficie articular de la tibia distal que soporta carga axil (p. ej. pilón y plafón tibial), con fijación interna, cuando se realice; de ambos, tibia y peroné","1090.48","1090.48"
713,"27829","Tratamiento abierto de rotura de la articulación tibioperonea distal (sindesmosis), incluye Fijación interna, cuando se realice","178.14","178.42"
714,"27830",Tratamiento cerrado de dislocación de articulación tibioperonea proximal; sin anestesia,"71.82","71.82"
715,"27831",Tratamiento cerrado de dislocación de articulación tibioperonea proximal; con anestesia,"71.82","71.82"
716,"27832","Tratamiento abierto de dislocacion de articulación tibioperonea proximal, incluye Fijación interna, cuando se realice, o con Escisión de peroné proximal","178.14","178.42"
717,"27860",Manipulacion de tobillo bajo anestesia general (incluye la Aplicación de traccion u otro aparato de Fijación),"125.39","125.65"
718,"27870","Artrodesis, tobillo, cualquier método","152.34","152.72"
719,"27871","Artrodesis, articulación tibioperonea, proximal o distal","196.1","196.38"
720,"27880","Amputación, pierna, a nivel de tibia y peroné","148.57","148.85"
721,"27888","Amputación, tobillo, a nivel de los maléolos de la tibia y peroné (p ej procedimientos de Syme, Pirogoff), con cierre plástico y Resección de nervios","149.83","150.14"
722,"27889",Desarticulación del tobillo,"148.57","148.85"
723,"28005","Incisión, hueso cortical (p ej osteomielitis o absceso óseo), pie","150.56","150.76"
724,"28008","Fasciotomía, pie y/o dedo del pie","191.07","191.23"
725,"28010","Tenotomía, percutánea, dedo del pie; un solo tendón","104.03","104.26"
726,"28020","Artrotomía, incluyendo Exploración, drenaje, o Extirpación de cuerpo suelto o de cuerpo extraño; articulaciónes intertarsiana o tarsometatarsiana","174.37","174.56"
727,"28035",Liberación de túnel del tarso (descompresión del nervio tibial posterior),"192.33","192.52"
728,"28043","Escisión, tumor, tejido blando, pie, tejido subcutáneo; menos de 1.5 cm","104.03","104.26"
729,"28046","Resección radical de tumor (p. ej. sarcoma), tejido blando del pie, o dedo del pie: menos de 3.0 cm","239.7","239.98"
730,"28047","Resección radical de tumor (p. ej. sarcoma), tejido blando del pie, o dedo del pie; 3.0 cm a más","239.7","239.98"
731,"28055","Neurectomía, musculatura intrínseca del pie","153.08","153.33"
732,"28062","Fasciectomía, fascia plantar; radical (procedimiento separado)","267.26","267.43"
733,"28070","Sinovectomía; articulación intertarsiana o tarsometatarsiana, cada una","192.33","192.52"
734,"28072","Sinovectomía; articulación metatarsofalángica, cada una","192.33","192.52"
735,"28086","Sinovectomía, vaina tendinosa, pie; flexor","174.37","174.56"
736,"28100","Escisión o legrado de quiste óseo o tumor benigno, astrágalo o calcáneo","152.45","152.69"
737,"28110","Ostectomía, Escisión parcial, cabeza del quintometatarsiano (buniónete) (procedimiento separado)","106.52","106.81"
738,"28114","Ostectomía, Escisión completa; todas las cabezas metatarsianas, con falangectomía proximal parcial, excluyendo primer metatarsiano (p ej procedimiento tipo Clayton)","156.85","157.19"
739,"28122","Escisión parcial (craterizacion, saucerizacion, secuestrectomía, o diafisectomía), hueso (p ej osteomielitis o protuberancia); hueso tarsiano o metatarsiano, excepto astrágalo o calcáneo","152.45","152.69"
740,"28130",Talectomía (astragalectomía),"274.59","274.74"
741,"28140",Metatarsectomía,"153.08","153.33"
742,"28150","Falangectomía, dedo del pie, cada dedo del pie","102.79","102.98"
743,"28160","Hemifalangectomía o Escisión de articulación interfalángica, dedo del pie, extremo proximal de falange, cada dedo","150.56","150.76"
744,"28171","Resección radical de tumor, hueso; tarsiano (excepto astrágalo o calcáneo)","239.7","239.98"
745,"28173","Resección radical de tumor, hueso; metatarsiano","239.7","239.98"
746,"28175","Resección radical de tumor, hueso; falange del dedo del pie","239.7","239.98"
747,"28190","Extirpación de cuerpo extraño, pie; subcutánea","102.17","102.34"
748,"28200","Corrección, tendón, flexor, pie; primaria o secundaria, sin injerto libre, cada tendón","150.56","150.76"
749,"28220","Tenolisis, flexor, pie; un solo tendón","129.71","129.98"
750,"28222","Tenolisis, flexor, pie; varios tendones","129.71","129.98"
751,"28225","Tenolisis, extensor, pie; un solo tendón","129.71","129.98"
752,"28226","Tenolisis, extensor, pie; varios tendones","129.71","129.98"
753,"28232","Tenotomía, abierta, tendón flexor; dedo del pie, un solo tendón (procedimiento separado)","127.84","128.06"
754,"28238",Reconstrucción (avance) de tendón tibial posterior con Escisión de hueso escafoides (navicular) (p ej Procedimiento de Kidner),"181.91","182.29"
755,"28240","Tenotomía, alargamiento, o Liberación, músculo abductor del dedo gordo","150.56","150.76"
756,"28260","Capsulotomía, pie medio; Liberación medial solamente (procedimiento separado)","174.37","174.56"
757,"28280","Sindactilizacion, dedo del pie (p ej Operación de membrana o procedimiento tipo Kelikian)","275.31","275.5"
758,"28285","Corrección, ""dedo en martillo"" (p ej fusion interfalángica, falangectomía parcial o total)","102.79","102.98"
759,"28288","Ostectomía, parcial, exostectomía o condilectomía, cabeza metatarsiana, cada cabeza metatarsiana","106.52","106.81"
760,"28289","Corrección de hallux rigidus mediante queilectomía, desbridamiento y Liberación capsular de la primera articulación metatarsofalángica","154.34","154.62"
761,"28290","Corrección, hallux valgus (bunio), con o sin sesamoidectomía; exostectomía simple (p ej procedimiento tipo Silver)","154.34","154.62"
762,"28304","Osteotomía, huesos tarsianos, que no sea el calcáneo o astrágalo","158.11","158.48"
763,"28313","Rectonstruccion, deformidad angular de dedo del pie, procedimientos para tejido blando solamente (p. ej. superposicion de segundo dedo, quinto dedo, dedos superpuestos)","275.31","275.5"
764,"28315","Sesamoidectomía, primer dedo del pie (procedimiento separado)","107.77","108.09"
765,"28320","Corrección, falta de unión o unión defectuosa; huesos tarsianos","349.64","349.76"
766,"28322","Corrección, falta de unión o unión defectuosa; metatarsiano, con o sin injerto óseo (incluye obtención del injerto)","349.64","349.76"
767,"28340","Rectonstruccion, dedo del pie, macrodactilia; Resección de tejido blando","275.31","275.5"
768,"28344","Rectonstruccion, dedos del pie; polidactilia","275.31","275.5"
769,"28345","Rectonstruccion, dedos del pie; sindactilia, con o sin injertos de piel, cada membrana interdigital","275.31","275.5"
770,"28406","Fijación esquelética percutánea de fractura del calcáneo, con manipulacion","126.59","126.78"
771,"28415","Tratamiento abierto de fractura del calcáneo, con o sin Fijación interna o externa","148.67","148.83"
772,"28436","Fijación esquelética percutánea de fractura del astrágalo, con manipulacion","126.59","126.78"
773,"28445","Tratamiento abierto de fractura del astrágalo, incluye Fijación interna, cuando se realice","148.67","148.83"
774,"28450","Tratamiento de fractura de hueso tarsiano (excepto astrágalo y calcáneo); sin manipulacion, cada una","24.6","24.64"
775,"28456","Fijación esquelética percutánea de fractura de hueso tarsiano (excepto astrágalo y calcáneo), con manipulacion, cada una","148.67","148.83"
776,"28476","Fijación esquelética percutánea de fractura metatarsiana, con manipulacion, cada una","149.3","149.47"
777,"28490","Tratamiento cerrado de fractura de dedo gordo, falange o falanges; sin manipulacion","24.36","24.39"
778,"28496","Fijación esquelética percutánea de fractura del dedo gordo, falange o falanges, con manipulacion","102.79","102.98"
779,"28531","Tratamiento abierto de fractura sesamoidea, con o sin Fijación interna","130.58","130.86"
780,"28546","Fijación esquelética percutánea de dislocacion de hueso tarsiano, que no sea astrágalotarsiana, con manipulacion","149.3","149.47"
781,"28615","Tratamiento abierto de dislocacion de articulación tarsometatarsiana, incluye Fijación interna, cuando se realice","148.67","148.83"
782,"28705",Artrodesis; panastragalina,"236.26","236.48"
783,"28715",Artrodesis; triple,"284.9","285.25"
784,"28725",Artrodesis; subastragalina,"196.1","196.38"
785,"28730","Artrodesis, mediotarsiana o tarsometatarsiana, varias o transversas","236.26","236.48"
786,"28750","Artrodesis, dedo gordo; articulación metatarsofalángica","154.34","154.62"
787,"28755","Artrodesis, dedo gordo; articulación interfalángica","107.77","108.09"
788,"28800","Amputación, pie; mediotarsiana (p ej procedimiento tipo Chopart)","146.68","146.92"
789,"28820","Amputación, dedo; articulación metatarsofalángica","104.03","104.26"
790,"29010","Aplicación de corsé de Risser, locálizador, cuerpo; solamente","24.57","24.6"
791,"29035","Aplicación de yeso corporal, hombro hasta caderas","48.43","48.49"
792,"29049","Aplicación; enyesado ""en figura de ocho""","42.82","42.87"
793,"29058",Aplicación; enyesado tipo Velpeau,"47.91","47.94"
794,"29065","Aplicación; de hombro a mano (largo, del brazo)","47.91","47.94"
795,"29075","Aplicación; de codo a dedo (corto, del brazo)","47.6","47.63"
796,"29085",Aplicación; de mano a antebrazo bajo (guante),"24.26","24.29"
797,"29105",Aplicación de férula larga para el brazo (hombro a mano),"24.47","24.6"
798,"29125",Aplicación de férula corta para el brazo (antebrazo a mano); estática,"24.17","24.19"
799,"29126",Aplicación de férula corta para el brazo (antebrazo a mano); dinámica,"24.17","24.19"
800,"29130",Aplicación de férula digital; estática,"3.06","3.09"
801,"29200",Vendaje; torax,"24.15","24.19"
802,"29240",Vendaje; hombro (p ej vendaje de Velpeau),"23.73","23.76"
803,"29305",Aplicación de enyesado en espiga de la cadera; una pierna,"48.21","48.26"
804,"29325",Aplicación de enyesado en espiga de la cadera; espiga de uno y medio o ambas piernas,"48.43","48.49"
805,"29345",Aplicación de enyesado largo para la pierna (muslo a dedos),"47.91","47.94"
806,"29405",Aplicación de enyesado corto para la pierna (debajo de la rodilla hasta dedos de los pies),"47.6","47.63"
807,"29435",Aplicación de enyesado rotuliano con soporte para el tendón,"24.26","24.29"
808,"29450","Aplicación de yeso para pie zambo, moldeado, o manipulacion, largo o corto para la pierna","47.91","47.94"
809,"29505",Aplicación de férula larga para la pierna (muslo a tobillo o dedos de los pies),"24.47","24.6"
810,"29700","Remoción o bivalvo; enyesado tipo guante, bota o corporal","3.06","3.09"
811,"29705",Remoción o bivalvo; yeso de brazo completo o pierna completa,"3.06","3.09"
812,"29710","Remoción o bivalvo; espiga de hombro o cadera, Minerva, o corsé de Risser, etc","3.06","3.09"
813,"29715",Remoción o bivalvo; corsé con tensor,"3.06","3.09"
814,"29799","Procedimiento que no aparece en la lista, yeso o vendaje: Vendaje de miembros superiores e inferiores","8.78","8.78"
815,"29800","Artroscopía, articulación temporomandibular, diagnóstica, con o sin biopsia sinovial (procedimiento separado)","257.45","257.54"
816,"29804","Artroscopía, articulación temporomandibular, quirúrgica","259.73","259.86"
817,"29855","Tratamiento asistido por Artroscopía de fractura tibial, proximal (meseta); unicondilar, incluye fijación interna, cuando se realice (incluye artroscopía)","1894.89","1894.89"
818,"29856","Tratamiento asistido por artroscopía de fractura tibial, proximal (meseta); bicondilar, incluye fijación interna, cuando se realice (incluye artroscopía)","2699.29","2699.29"
819,"29866","Artroscopía, rodilla, quirúrgica; autoinjerto(s) osteocondral (p. ej.mosaicoplastía) (incluye realización del autoinjerto[s])","236.96",
820,"29867","Artroscopía, rodilla, quirúrgica; aloinjerto osteocondral (p. ej.mosaicoplastía)","227.41",
821,"29871","Artroscopía, rodilla, quirúrgica; por infección, Irrigación y drenaje","199.75",
822,"29873","Artroscopía, rodilla, quirúrgica; con Liberación lateral","188.06",
823,"29874","Artroscopía, rodilla, quirúrgica; para Extirpación de cuerpo suelto o de cuerpo extraño (p. ej.fragmentación porosteocondritis disecante, fragmentación cartilaginosa)","188.01",
824,"29875","Artroscopía, rodilla, quirúrgica; sinovectomía, conservadora (p. ej.Resección pliegues o de salientes) (procedimiento separado)","188.01",
825,"29876","Artroscopía, rodilla, quirúrgica; sinovectomía, amplia, dos o más compartimientos (p. ej.medial o lateral)","188.12",
826,"29877","Artroscopía, rodilla, quirúrgica; desbridamiento/raspadura de cartílago articular (condroplastia)","188.12",
827,"29880","Artroscopía, rodilla, quirúrgica; con meniscectomía (medial Y lateral, incluyendo cualquier raspadura de menisco), incluyendo Debridación/raspado de cartílado articular (controplastía), mismo compartimento o separado(s), cuando se realice","188.33",
828,"29881","Artroscopía, rodilla, quirúrgica; con meniscectomía (medial o lateral, incluyendo cualquier raspadura de menisco), incluyendo debridación/raspado de cartílado articular (controplastía), mismo compartimento o separado(s), cuando se realice","188.22",
829,"29882","Artroscopía, rodilla, quirúrgica; con corrección de menisco (medial o lateral)","188.12",
830,"29883","Artroscopía, rodilla, quirúrgica; con corrección de menisco (medial Y lateral)","188.22",
831,"29884","Artroscopía, rodilla, quirúrgica; con lisis de adherencias, con o sin manipulacion (procedimiento separado)","188.12",
832,"29885","Artroscopía, rodilla, quirúrgica; trepanado para osteocondritis disecante con injerto óseo, con o sin fijación interna (incluyendo desbridamiento de la base de la lesión)","227.41",
833,"29886","Artroscopía, rodilla, quirúrgica; trepanado para lesión de osteocondritis disecante intacta","236.75",
834,"29887","Artroscopía, rodilla, quirúrgica; trepanado para lesión de osteocondritis disecante intacta, con fijación interna","219.62",
835,"29888","Corrección, aumento, o reconstrucción de ligamento cruzado anterior asistidos por artroscopía","206.76",
836,"29889","Corrección, aumento, o reconstrucción de ligamento cruzado posterior asistidos por artroscopía","206.76",
837,"30000","Drenaje de absceso o hematoma nasal, abordaje interno","21.35","21.39"
838,"30100",Biopsia intranasal,"21.3","21.42"
839,"30110",Escisión de polipo nasal simple,"78.41","78.59"
840,"30117",Escisión o Destrucción de lesión intranasal a través de abordaje interno,"207.35","207.47"
841,"30120",Escisión o dermoabrasión de piel de la nariz debido a rinofima,"82.15","82.42"
842,"30124","Escisión de quiste dermoide simple de nariz, subcutánea","41.07","42.14"
843,"30130","Escisión de cornete nasal inferior parcial o completa, cualquier método","228.78","229"
844,"30150",Rinectomía parcial,"131.84","132.15"
845,"30160",Rinectomía total,"428.98","429.33"
846,"30200",Inyección terapéutica dentro del cornete nasal,"2.92","2.94"
847,"30300",Extirpación de cuerpo extraño intranasal simple (similar al procedimiento de consultorio externo),"3.16","3.19"
848,"30310",Extirpación de cuerpo extraño intranasal con necesidad de anestesia general,"108.13","109.11"
849,"30400",Rinoplastía primaria con modificacion de los cartílagos alares y laterales y/o elevación de la punta nasal,"128.69","128.93"
850,"30430",Rinoplastía Secundaria con revisión menor (trabajo sobre la punta de la nariz),"130.58","130.86"
851,"30460","Rinoplastía por deFormación nasal secundaria a labio y/o paladar hendidos congénitos, incluyendo alargamiento de columela, solamente la punta","213.65","213.89"
852,"30520","Septoplastía o Resección submucosa del septum nasal, con o sin raspado de cartílago, contorneo o reemplazo con injerto","213.59","213.87"
853,"30540",Corrección de atresia de coana; vía intranasal,"373.44","373.63"
854,"30560",Lisis de sinequia intranasal,"39.28","40.26"
855,"30580","Corrección de fístula oromaxilar u oronasal (combinar con 31030, si es que se incluye antrotomía)","279.64","279.88"
856,"30600",Reparación de fístula oronasal,"275.62","275.84"
857,"30630",Corrección de Perforaciónes del tabique nasal,"126.81","127"
859,"30901",Control de hemorragia nasal con Cauterización y/o taponamiento nasal anterior simple (limitado a Cauterización y/o taponamiento con gasa),"43.6","43.65"
858,"30801","Ablación de tejido blando de cornete nasal inferior, unilateral o bilateral, con cualquier método (p ej Electrocauterio, ablación por radiofrecuencia o reducción de volumen); superficial","43.36","43.4"
860,"30903",Control de hemorragia nasal con Cauterización y/o taponamiento nasal anterior complejo (uso extenso de cauterio y/o taponamiento con gasa),"43.6","43.65"
861,"30905",Control de hemorragia nasal con Cauterización y/o taponamiento nasal posterior usando paquetes de gasa y/o cauterio Procedimiento inicial,"43.84","43.9"
862,"30906",Control de hemorragia nasal con Cauterización y/o taponamiento nasal posterior usando paquetes de gasa y/o cauterio Procedimiento subsecuente,"43.84","43.9"
863,"30930","Fractura de cornetes nasales inferior(es), terapéutica","40.11","40.99"
864,"31000",Lavado del seno maxilar por canulación (Punción del antro u ostium natural),"4.88","5.01"
865,"31020",Sinusotomía maxilar (antrotomía); intranasal,"279.64","279.88"
866,"31030",Sinusotomía maxilar radical (Caldwell-Luc) sin Extirpación de polipos antrocoanales,"290.69","290.92"
867,"31040","Cirugía de la fosa pterigomaxilar, cualquier abordaje",N/C,"384.52"
868,"31050","Sinusotomía esfenoidal, con o sin biopsia",N/C,"384.52"
869,"31070","Sinusotomía frontal; externa, simple (con Trepanación)",N/C,"351.44"
870,"31200","Etmoidectomía; intranasal, anterior",N/C,"363.85"
871,"31225",Maxilectomía sin exenteración órbitaria,N/C,"384.52"
872,"31230",Maxilectomía; con exenteración órbitaria (en bloque),N/C,"401.07"
873,"31231",Endoscopía nasal diagnóstica unilateral o bilateral (procedimiento separado),"49.91","50.16"
874,"31300","Laringotomía (tirotomía, laringofisura); con extirpación de tumor o laringocele y cordectomía",N/C,"351.44"
875,"31360","Laringuectomía total, sin disección radical del cuello",N/C,"378.9"
876,"31365","Laringuectomía total, con disección radical del cuello",N/C,"383.34"
877,"31367","Laringuectomía subtotal supraglotica, sin disección radical del cuello",N/C,"374.46"
878,"31368","Laringuectomía subtotal supraglotica, con disección radical del cuello",N/C,"378.9"
879,"31370",Laringuectomía parcial (hemilaringuectomía); horizontal,N/C,"374.46"
880,"31390","Faringolaringuectomía, con disección radical del cuello; sin rectonstruccion",N/C,"392.23"
881,"31400","Aritenoidectomía o Aritenoidopexia, abordaje externo",N/C,"384.52"
882,"31420",Epiglotidectomía,"375.13","375.35"
883,"31500","Intubación endotraqueal, procedimiento de emergencia, urgencia o electivo","30.76","30.76"
884,"31505","Laringoscopía indirecta, diagnóstica (procedimiento separado)","47.38","47.56"
885,"31515","Laringoscopía directa, con o sin traqueoscopía; para aspiración","49.17","49.44"
886,"31530","Laringoscopía, directa, operatoria, con extirpación de cuerpo extraño","242.93","242.93"
887,"31580","Laringoplastía para membrana laríngea, en dos estadios, con Inserción y Remoción de quilla",N/C,"374.46"
888,"31588","Laringoplastía, sin otra especificacion (p ej por quemaduras, Reconstrucción después de Laringuectomía parcial)",N/C,"374.46"
889,"31590",Reinervacion laríngea por pedículo neuromuscular,N/C,"393.33"
890,"31595","Sección del nervio laríngeo recurrente, terapéutica (procedimiento separado), unilateral","231.64","231.88"
891,"31596","Extirpación de lesiones de cuerdas vocales con microcirugía (nodulo, papilomas)","104.73","104.73"
892,"31603","Traqueostomía, procedimiento de emergencia; transtraqueal","72.43","72.46"
893,"31605",Traqueostomía transtraqueal de emergencia a través de membrana de cartílago cricotiroideo,"2.86","2.86"
894,"31612",Punción traqueal percutánea con aspiración y/o Inyección transtraqueal,"15.68","15.84"
895,"31613",Revisión de traqueostomía simple sin rotación de Flap,"9.57","9.59"
896,"31620",Ecografía endobronquial (EBUS) durante una intervencion diagnóstica o terapéutica con broncoscopio Registrar por separado adicionalmente al código del procedimiento primario,N/C,"5.59"
897,"31622","Broncoscopía, rígida o flexible, incluye la guía fluoroscopica, cuando se realice, con lavado de células, cuando se realice (procedimiento separado)","162.04","162.21"
898,"31623","Broncoscopía, rígida o flexible, incluye guía fluoroscópica, cuando se realice, con cepillado simple o protegido","209.87","209.87"
899,"31624","Broncoscopía, rígida o flexible, incluye guía fluoroscopica, cuando se realice, con lavado bronquioalveolar","244.05","244.12"
900,"31629","Broncoscopía, rígida o flexible, incluyendo guía fluoroscópica, cuando se realice, con biopsia(s) transbronquial(es) de aspiración con aguja, traquea, bronquio principal y/o bronquio lobar","32.35",
901,"31635","Broncoscopía, incluyendo guia fluoroscópica, cuando se realice, y remoción de cuerpo extraño","209.87","209.87"
902,"31640","Broncoscopia, incluyendo guia fluoroscopica, cuando se realice; con escicion de tumor",N/C,"192.33"
903,"31645","Broncoscopía, incluyendo guía fluoroscopica, cuando se realice, con aspiración terapéutica del arbol bronquial (pej: drenaje de absceso pulmonar), procedimiento inicial","254.7","254.79"
904,"31660","Broncoscopia, rigida o flexible, incluyendo guia fluoroscopica, cuando se realiza; con termoplastia bronquial, un lobulo",N/C,"181.3"
905,"31720.01",Aspiración de secreciones,"16.4","16.4"
906,"31720.02",Aspiración de secreciónes por circuito cerrado o continua,,"10.1667380952381"
907,"31750","Traqueoplastía, cervical",N/C,"295.12"
908,"31766",Reconstrucción de carina traqueal,"392.31","392.87"
909,"31770",Broncoplastía; Reparación con injerto,"392.31","392.87"
910,"31785",Escisión de tumor o carcinoma traqueal: nivel cervical,N/C,"500.31"
911,"31800","Sutura de herida o lesión traqueal, nivel cervical","273.49","273.64"
912,"31820",Cierre quirúrgico de traqueostomía o fístula; sin plastia,N/C,"269.05"
913,"31820.01",Curación de traqueostomía,N/C,"24.82"
914,"31825",Cierre quirúrgico de traqueostomía o fístula; con plastia,N/C,"269.05"
915,"31830",Revisión de cicatriz de traqueostomía,"205.97","206.08"
916,"32005",Pleurodesis,"30.8","30.84"
917,"32035","Toracostomía, ventana torácica (con Resección de costilla) para drenaje de empiema","30.8","30.84"
918,"32095","Toracotomía, limitada, para biopsia pulmonar o pleural","75.4","77.8"
919,"32100","Toracotomia, con exploracion",N/C,"195.04"
920,"32200",Neumonostomía con drenaje abierto de absceso o quiste,N/C,"385.86"
921,"32201",Neumonostomía; con drenaje percutáneo de absceso o quiste,"385.44","385.86"
922,"32220",Decorticacion pulmonar total (procedimiento separado),"392.31","392.87"
923,"32225",Decorticacion pulmonar parcial (procedimiento separado),"385.44","385.86"
924,"32310",Pleurectomía parietal (procedimiento separado),"452.79","453.21"
