"Id_Establecimiento","Nombre_Establecimiento","Ubigueo_Establecimiento","Codigo_Disa","Disa","Codigo_Red","Red","Codigo_MicroRed","MicroRed","Codigo_Unico","Codigo_Sector","Descripcion_Sector","Departamento","Provincia","Distrito"
1143,PUERTO MAYRO,190304,27,PASCO,3,OXAPAMPA,4,PALCAZU,1143,7,GOBIERNO REGIONAL,PASCO,OXAPAMPA,PALCAZU
1144,SHIRINGAMAZU ALTO,190304,27,PASCO,3,OXAPAMPA,4,PALCAZU,1144,7,GOBIERNO REGIONAL,PASCO,OXAPAMPA,PALCAZU
1145,SHIRINGAMAZU BAJO,190304,27,PASCO,3,OXAPAMPA,4,PALCAZU,1145,7,GOBIERNO REGIONAL,PASCO,OXAPAMPA,PALCAZU
1146,SANTA  ROSA DE CHUCHURRAS,190304,27,PASCO,3,OXAPAMPA,4,PALCAZU,1146,7,GOBIERNO REGIONAL,PASCO,OXAPAMPA,PALCAZU
1147,CENTRO COMPARACHIMAS,190304,27,PASCO,3,OXAPAMPA,4,PALCAZU,1147,7,GOBIERNO REGIONAL,PASCO,OXAPAMPA,PALCAZU
1148,CENTRO CASTILLA,190304,27,PASCO,3,OXAPAMPA,4,PALCAZU,1148,7,GOBIERNO REGIONAL,PASCO,OXAPAMPA,PALCAZU
1149,SANTA MARIA,190304,27,PASCO,3,OXAPAMPA,4,PALCAZU,1149,7,GOBIERNO REGIONAL,PASCO,OXAPAMPA,PALCAZU
1150,MAZUHUAZU,190304,27,PASCO,3,OXAPAMPA,4,PALCAZU,1150,7,GOBIERNO REGIONAL,PASCO,OXAPAMPA,PALCAZU
1151,RIO NEGRO,190304,27,PASCO,3,OXAPAMPA,4,PALCAZU,1151,7,GOBIERNO REGIONAL,PASCO,OXAPAMPA,PALCAZU
1152,PLAYA CALIENTE,190304,27,PASCO,3,OXAPAMPA,4,PALCAZU,1152,7,GOBIERNO REGIONAL,PASCO,OXAPAMPA,PALCAZU
1153,QUEBRADA PACO,190304,27,PASCO,3,OXAPAMPA,4,PALCAZU,1153,7,GOBIERNO REGIONAL,PASCO,OXAPAMPA,PALCAZU
1154,PUERTO BELEN,190304,27,PASCO,3,OXAPAMPA,4,PALCAZU,1154,7,GOBIERNO REGIONAL,PASCO,OXAPAMPA,PALCAZU
1155,CENTRO LAGARTO,190304,27,PASCO,3,OXAPAMPA,4,PALCAZU,1155,7,GOBIERNO REGIONAL,PASCO,OXAPAMPA,PALCAZU
1156,PUERTO BERMUDEZ,190306,27,PASCO,3,OXAPAMPA,5,PUERTO BERMUDEZ,1156,7,GOBIERNO REGIONAL,PASCO,OXAPAMPA,PUERTO BERMUDEZ
1157,SANTA ISABEL DE NEGUACHI,190306,27,PASCO,3,OXAPAMPA,5,PUERTO BERMUDEZ,1157,7,GOBIERNO REGIONAL,PASCO,OXAPAMPA,PUERTO BERMUDEZ
1159,PUERTO AGUACHINI,190306,27,PASCO,3,OXAPAMPA,5,PUERTO BERMUDEZ,1159,7,GOBIERNO REGIONAL,PASCO,OXAPAMPA,PUERTO BERMUDEZ
1160,PUERTO PASCUALA,190306,27,PASCO,3,OXAPAMPA,5,PUERTO BERMUDEZ,1160,7,GOBIERNO REGIONAL,PASCO,OXAPAMPA,PUERTO BERMUDEZ
1161,SANTA ROSA DE CHIVIS,190306,27,PASCO,3,OXAPAMPA,5,PUERTO BERMUDEZ,1161,7,GOBIERNO REGIONAL,PASCO,OXAPAMPA,PUERTO BERMUDEZ
1162,SAN PABLO,190306,27,PASCO,3,OXAPAMPA,5,PUERTO BERMUDEZ,1162,7,GOBIERNO REGIONAL,PASCO,OXAPAMPA,PUERTO BERMUDEZ
1164,BOCA SAMAYA,190306,27,PASCO,3,OXAPAMPA,5,PUERTO BERMUDEZ,1164,7,GOBIERNO REGIONAL,PASCO,OXAPAMPA,PUERTO BERMUDEZ
1165,PUERTO YESUPE,190306,27,PASCO,3,OXAPAMPA,5,PUERTO BERMUDEZ,1165,7,GOBIERNO REGIONAL,PASCO,OXAPAMPA,PUERTO BERMUDEZ
1166,AMAMBAY,190306,27,PASCO,3,OXAPAMPA,5,PUERTO BERMUDEZ,1166,7,GOBIERNO REGIONAL,PASCO,OXAPAMPA,PUERTO BERMUDEZ
1167,QUIRISHARI,190306,27,PASCO,3,OXAPAMPA,5,PUERTO BERMUDEZ,1167,7,GOBIERNO REGIONAL,PASCO,OXAPAMPA,PUERTO BERMUDEZ
1168,EL MILAGRO,190306,27,PASCO,3,OXAPAMPA,5,PUERTO BERMUDEZ,1168,7,GOBIERNO REGIONAL,PASCO,OXAPAMPA,PUERTO BERMUDEZ
1169,ALTO CHIVIS,190306,27,PASCO,3,OXAPAMPA,5,PUERTO BERMUDEZ,1169,7,GOBIERNO REGIONAL,PASCO,OXAPAMPA,PUERTO BERMUDEZ
1170,NUEVO NEVATI,190306,27,PASCO,3,OXAPAMPA,5,PUERTO BERMUDEZ,1170,7,GOBIERNO REGIONAL,PASCO,OXAPAMPA,PUERTO BERMUDEZ
1171,ZUNGAROYALI,190306,27,PASCO,3,OXAPAMPA,5,PUERTO BERMUDEZ,1171,7,GOBIERNO REGIONAL,PASCO,OXAPAMPA,PUERTO BERMUDEZ
1172,REDENCION NEVATI,190306,27,PASCO,3,OXAPAMPA,5,PUERTO BERMUDEZ,1172,7,GOBIERNO REGIONAL,PASCO,OXAPAMPA,PUERTO BERMUDEZ
1173,UNION SIRIA,190308,27,PASCO,3,OXAPAMPA,6,CIUDAD CONSTITUCION,1173,7,GOBIERNO REGIONAL,PASCO,OXAPAMPA,CONSTITUCIÓN
1174,TUPAC AMARU,190306,27,PASCO,3,OXAPAMPA,5,PUERTO BERMUDEZ,1174,7,GOBIERNO REGIONAL,PASCO,OXAPAMPA,PUERTO BERMUDEZ
1176,PUENTE PAUCARTAMBO,190307,27,PASCO,3,OXAPAMPA,3,VILLA RICA,1176,7,GOBIERNO REGIONAL,PASCO,OXAPAMPA,VILLA RICA
1177,BOCAZ,190307,27,PASCO,3,OXAPAMPA,3,VILLA RICA,1177,7,GOBIERNO REGIONAL,PASCO,OXAPAMPA,VILLA RICA
1178,LOS MELLIZOS,190307,27,PASCO,3,OXAPAMPA,3,VILLA RICA,1178,7,GOBIERNO REGIONAL,PASCO,OXAPAMPA,VILLA RICA
1179,ALTO CACAZU,190307,27,PASCO,3,OXAPAMPA,3,VILLA RICA,1179,7,GOBIERNO REGIONAL,PASCO,OXAPAMPA,VILLA RICA
1180,ENEÑAS,190307,27,PASCO,3,OXAPAMPA,3,VILLA RICA,1180,7,GOBIERNO REGIONAL,PASCO,OXAPAMPA,VILLA RICA
1181,SAN JUAN DE CACAZU,190307,27,PASCO,3,OXAPAMPA,3,VILLA RICA,1181,7,GOBIERNO REGIONAL,PASCO,OXAPAMPA,VILLA RICA
1182,MAYME,190307,27,PASCO,3,OXAPAMPA,3,VILLA RICA,1182,7,GOBIERNO REGIONAL,PASCO,OXAPAMPA,VILLA RICA
1183,ÑAGAZU,190307,27,PASCO,3,OXAPAMPA,3,VILLA RICA,1183,7,GOBIERNO REGIONAL,PASCO,OXAPAMPA,VILLA RICA
1184,VILLA OYON,190307,27,PASCO,3,OXAPAMPA,3,VILLA RICA,1184,7,GOBIERNO REGIONAL,PASCO,OXAPAMPA,VILLA RICA
1186,CEDROPAMPA,190307,27,PASCO,3,OXAPAMPA,3,VILLA RICA,1186,7,GOBIERNO REGIONAL,PASCO,OXAPAMPA,VILLA RICA
1187,ALTO ENTAZ,190307,27,PASCO,3,OXAPAMPA,3,VILLA RICA,1187,7,GOBIERNO REGIONAL,PASCO,OXAPAMPA,VILLA RICA
1188,PAMPA ENCANTADA,190307,27,PASCO,3,OXAPAMPA,3,VILLA RICA,1188,7,GOBIERNO REGIONAL,PASCO,OXAPAMPA,VILLA RICA
1189,UBIRIKI,190307,27,PASCO,3,OXAPAMPA,3,VILLA RICA,1189,7,GOBIERNO REGIONAL,PASCO,OXAPAMPA,VILLA RICA
1190,BELLA ESPERANZA,190307,27,PASCO,3,OXAPAMPA,3,VILLA RICA,1190,7,GOBIERNO REGIONAL,PASCO,OXAPAMPA,VILLA RICA
1191,OCHO DE DICIEMBRE,190204,27,PASCO,2,DANIEL CARRION,3,YANAHUANCA,1191,7,GOBIERNO REGIONAL,PASCO,DANIEL ALCIDES CARRION,PAUCAR
1192,INDEPENDENCIA,190204,27,PASCO,2,DANIEL CARRION,3,YANAHUANCA,1192,7,GOBIERNO REGIONAL,PASCO,DANIEL ALCIDES CARRION,PAUCAR
1193,CHOCOPATA,190201,27,PASCO,2,DANIEL CARRION,3,YANAHUANCA,1193,7,GOBIERNO REGIONAL,PASCO,DANIEL ALCIDES CARRION,YANAHUANCA
1194,ANDAHUAYLAS,190205,27,PASCO,2,DANIEL CARRION,3,YANAHUANCA,1194,7,GOBIERNO REGIONAL,PASCO,DANIEL ALCIDES CARRION,SAN PEDRO DE PILLAO
1195,CHINCHE TINGO,190201,27,PASCO,2,DANIEL CARRION,3,YANAHUANCA,1195,7,GOBIERNO REGIONAL,PASCO,DANIEL ALCIDES CARRION,YANAHUANCA
1196,LLICLLAO,190201,27,PASCO,2,DANIEL CARRION,3,YANAHUANCA,1196,7,GOBIERNO REGIONAL,PASCO,DANIEL ALCIDES CARRION,YANAHUANCA
1197,CACHQUIS,190201,27,PASCO,2,DANIEL CARRION,3,YANAHUANCA,1197,7,GOBIERNO REGIONAL,PASCO,DANIEL ALCIDES CARRION,YANAHUANCA
1199,CHINCHE RABI,190201,27,PASCO,2,DANIEL CARRION,3,YANAHUANCA,1199,7,GOBIERNO REGIONAL,PASCO,DANIEL ALCIDES CARRION,YANAHUANCA
1200,NUMUNYAYOG,190201,27,PASCO,2,DANIEL CARRION,3,YANAHUANCA,1200,7,GOBIERNO REGIONAL,PASCO,DANIEL ALCIDES CARRION,YANAHUANCA
1201,PAUCAR,190204,27,PASCO,2,DANIEL CARRION,3,YANAHUANCA,1201,7,GOBIERNO REGIONAL,PASCO,DANIEL ALCIDES CARRION,PAUCAR
1202,YACAN,190204,27,PASCO,2,DANIEL CARRION,3,YANAHUANCA,1202,7,GOBIERNO REGIONAL,PASCO,DANIEL ALCIDES CARRION,PAUCAR
1203,MISCA,190202,27,PASCO,2,DANIEL CARRION,1,CHAUPIHUARANGA,1203,7,GOBIERNO REGIONAL,PASCO,DANIEL ALCIDES CARRION,CHACAYAN
1204,TANGOR,190204,27,PASCO,2,DANIEL CARRION,3,YANAHUANCA,1204,7,GOBIERNO REGIONAL,PASCO,DANIEL ALCIDES CARRION,PAUCAR
1205,HUAYCHAUMARCA,190201,27,PASCO,2,DANIEL CARRION,3,YANAHUANCA,1205,7,GOBIERNO REGIONAL,PASCO,DANIEL ALCIDES CARRION,YANAHUANCA
1206,CHAUPIMARCA,190207,27,PASCO,2,DANIEL CARRION,1,CHAUPIHUARANGA,1206,7,GOBIERNO REGIONAL,PASCO,DANIEL ALCIDES CARRION,TAPUC
1207,TAPUC,190207,27,PASCO,2,DANIEL CARRION,1,CHAUPIHUARANGA,1207,7,GOBIERNO REGIONAL,PASCO,DANIEL ALCIDES CARRION,TAPUC
1208,VILCABAMBA,190208,27,PASCO,2,DANIEL CARRION,1,CHAUPIHUARANGA,1208,7,GOBIERNO REGIONAL,PASCO,DANIEL ALCIDES CARRION,VILCABAMBA
1209,SAN MIGUEL DE CUCHIS,190208,27,PASCO,2,DANIEL CARRION,1,CHAUPIHUARANGA,1209,7,GOBIERNO REGIONAL,PASCO,DANIEL ALCIDES CARRION,VILCABAMBA
1210,PATARAYOG,190208,27,PASCO,2,DANIEL CARRION,1,CHAUPIHUARANGA,1210,7,GOBIERNO REGIONAL,PASCO,DANIEL ALCIDES CARRION,VILCABAMBA
1211,COCAR,190208,27,PASCO,2,DANIEL CARRION,1,CHAUPIHUARANGA,1211,7,GOBIERNO REGIONAL,PASCO,DANIEL ALCIDES CARRION,VILCABAMBA
1212,ROCCO,190201,27,PASCO,2,DANIEL CARRION,3,YANAHUANCA,1212,7,GOBIERNO REGIONAL,PASCO,DANIEL ALCIDES CARRION,YANAHUANCA
1213,VIRGEN DEL ROSARIO DE HUAYLASJIRCA,190201,27,PASCO,2,DANIEL CARRION,3,YANAHUANCA,1213,7,GOBIERNO REGIONAL,PASCO,DANIEL ALCIDES CARRION,YANAHUANCA
1214,POMAPACHUPAN,190201,27,PASCO,2,DANIEL CARRION,3,YANAHUANCA,1214,7,GOBIERNO REGIONAL,PASCO,DANIEL ALCIDES CARRION,YANAHUANCA
1215,GORGORIN,190202,27,PASCO,2,DANIEL CARRION,1,CHAUPIHUARANGA,1215,7,GOBIERNO REGIONAL,PASCO,DANIEL ALCIDES CARRION,CHACAYAN
1216,PILLAO,190205,27,PASCO,2,DANIEL CARRION,3,YANAHUANCA,1216,7,GOBIERNO REGIONAL,PASCO,DANIEL ALCIDES CARRION,SAN PEDRO DE PILLAO
1217,MICHIVILCA,190207,27,PASCO,2,DANIEL CARRION,1,CHAUPIHUARANGA,1217,7,GOBIERNO REGIONAL,PASCO,DANIEL ALCIDES CARRION,TAPUC
1218,FREDY VALLEJOS ORE,190201,27,PASCO,2,DANIEL CARRION,3,YANAHUANCA,1218,7,GOBIERNO REGIONAL,PASCO,DANIEL ALCIDES CARRION,YANAHUANCA
1219,TAMBOPAMPA,190201,27,PASCO,2,DANIEL CARRION,3,YANAHUANCA,1219,7,GOBIERNO REGIONAL,PASCO,DANIEL ALCIDES CARRION,YANAHUANCA
1220,YANACOCHA,190201,27,PASCO,2,DANIEL CARRION,3,YANAHUANCA,1220,7,GOBIERNO REGIONAL,PASCO,DANIEL ALCIDES CARRION,YANAHUANCA
1221,SANTIAGO PAMPA,190201,27,PASCO,2,DANIEL CARRION,3,YANAHUANCA,1221,7,GOBIERNO REGIONAL,PASCO,DANIEL ALCIDES CARRION,YANAHUANCA
1222,TAMBOCHACA,190201,27,PASCO,2,DANIEL CARRION,3,YANAHUANCA,1222,7,GOBIERNO REGIONAL,PASCO,DANIEL ALCIDES CARRION,YANAHUANCA
1223,UCHUMARCA,190201,27,PASCO,2,DANIEL CARRION,3,YANAHUANCA,1223,7,GOBIERNO REGIONAL,PASCO,DANIEL ALCIDES CARRION,YANAHUANCA
1224,CHIPIPATA,190201,27,PASCO,2,DANIEL CARRION,3,YANAHUANCA,1224,7,GOBIERNO REGIONAL,PASCO,DANIEL ALCIDES CARRION,YANAHUANCA
1225,PALCA,190201,27,PASCO,2,DANIEL CARRION,3,YANAHUANCA,1225,7,GOBIERNO REGIONAL,PASCO,DANIEL ALCIDES CARRION,YANAHUANCA
1226,ASTOBAMBA HUARAUTAMBO,190201,27,PASCO,2,DANIEL CARRION,3,YANAHUANCA,1226,7,GOBIERNO REGIONAL,PASCO,DANIEL ALCIDES CARRION,YANAHUANCA
1227,POMAYAROS,190201,27,PASCO,2,DANIEL CARRION,3,YANAHUANCA,1227,7,GOBIERNO REGIONAL,PASCO,DANIEL ALCIDES CARRION,YANAHUANCA
1228,AYAYOG,190201,27,PASCO,2,DANIEL CARRION,3,YANAHUANCA,1228,7,GOBIERNO REGIONAL,PASCO,DANIEL ALCIDES CARRION,YANAHUANCA
1229,ANDES YANAHUANCA,190201,27,PASCO,2,DANIEL CARRION,3,YANAHUANCA,1229,7,GOBIERNO REGIONAL,PASCO,DANIEL ALCIDES CARRION,YANAHUANCA
1230,ANDACHACA,190201,27,PASCO,2,DANIEL CARRION,3,YANAHUANCA,1230,7,GOBIERNO REGIONAL,PASCO,DANIEL ALCIDES CARRION,YANAHUANCA
1231,HOSPITAL REGIONAL HONORIO DELGADO ESPINOZA,40101,4,AREQUIPA,0,NO PERTENECE A NINGUNA RED,0,NO PERTENECE A NINGUNA MICRORED,1231,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,AREQUIPA
1232,HOSPITAL GOYENECHE,40101,4,AREQUIPA,0,NO PERTENECE A NINGUNA RED,0,NO PERTENECE A NINGUNA MICRORED,1232,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,AREQUIPA
1233,CENTRO DE SALUD YANAHUARA,40126,4,AREQUIPA,3,AREQUIPA CAYLLOMA,10,YANAHUARA,1233,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,YANAHUARA
1234,CENTRO DE SALUD FRANCISCO BOLOGNESI,40103,4,AREQUIPA,3,AREQUIPA CAYLLOMA,5,FRANCISCO BOLOGNESI,1234,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,CAYMA
1235,BUENOS AIRES DE CAYMA,40103,4,AREQUIPA,3,AREQUIPA CAYLLOMA,6,BUENOS AIRES DE CAYMA,1235,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,CAYMA
1236,CERRO COLORADO,40104,4,AREQUIPA,3,AREQUIPA CAYLLOMA,7,CERRO COLORADO,1236,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,CERRO COLORADO
1237,MARITZA CAMPOS DIAZ - ZAMACOLA,40104,4,AREQUIPA,3,AREQUIPA CAYLLOMA,9,MARITZA CAMPOS DIAZ,1237,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,CERRO COLORADO
1238,CENTRO DE SALUD MARISCAL CASTILLA,40104,4,AREQUIPA,3,AREQUIPA CAYLLOMA,8,MARISCAL CASTILLA,1238,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,CERRO COLORADO
1239,PUESTO DE SALUD HUANCA,40508,4,AREQUIPA,3,AREQUIPA CAYLLOMA,11,CIUDAD DE DIOS,1239,7,GOBIERNO REGIONAL,AREQUIPA,CAYLLOMA,HUANCA
1241,PUESTO DE SALUD SUMBAY - CHASQUIPAMPA,40126,4,AREQUIPA,3,AREQUIPA CAYLLOMA,11,CIUDAD DE DIOS,1241,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,YANAHUARA
1242,PUESTO DE SALUD IMATA,40514,4,AREQUIPA,3,AREQUIPA CAYLLOMA,11,CIUDAD DE DIOS,1242,7,GOBIERNO REGIONAL,AREQUIPA,CAYLLOMA,SAN ANTONIO DE CHUCA
1243,PUESTO DE SALUD PILLONES,40514,4,AREQUIPA,3,AREQUIPA CAYLLOMA,11,CIUDAD DE DIOS,1243,7,GOBIERNO REGIONAL,AREQUIPA,CAYLLOMA,SAN ANTONIO DE CHUCA
1244,PUESTO DE SALUD LA TOMILLA,40103,4,AREQUIPA,3,AREQUIPA CAYLLOMA,5,FRANCISCO BOLOGNESI,1244,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,CAYMA
1245,SAN JOSE,40103,4,AREQUIPA,3,AREQUIPA CAYLLOMA,6,BUENOS AIRES DE CAYMA,1245,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,CAYMA
1246,DEAN VALDIVIA,40103,4,AREQUIPA,3,AREQUIPA CAYLLOMA,6,BUENOS AIRES DE CAYMA,1246,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,CAYMA
1247,PUESTO DE SALUD CIUDAD MUNICIPAL,40104,4,AREQUIPA,3,AREQUIPA CAYLLOMA,9,MARITZA CAMPOS DIAZ,1247,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,CERRO COLORADO
1248,ALTO LIBERTAD,40104,4,AREQUIPA,3,AREQUIPA CAYLLOMA,7,CERRO COLORADO,1248,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,CERRO COLORADO
1249,CENTRO DE SALUD SEMI RURAL PACHACUTEC,40104,4,AREQUIPA,3,AREQUIPA CAYLLOMA,8,MARISCAL CASTILLA,1249,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,CERRO COLORADO
1250,PUESTO DE SALUD JOSE SANTOS ATAHUALPA,40104,4,AREQUIPA,3,AREQUIPA CAYLLOMA,8,MARISCAL CASTILLA,1250,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,CERRO COLORADO
1251,PUESTO DE SALUD NAZARENO,40104,4,AREQUIPA,3,AREQUIPA CAYLLOMA,9,MARITZA CAMPOS DIAZ,1251,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,CERRO COLORADO
1252,PUESTO DE SALUD EL CURAL,40104,4,AREQUIPA,3,AREQUIPA CAYLLOMA,8,MARISCAL CASTILLA,1252,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,CERRO COLORADO
1253,CENTRO DE SALUD CIUDAD DE DIOS,40128,4,AREQUIPA,3,AREQUIPA CAYLLOMA,11,CIUDAD DE DIOS,1253,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,YURA
1254,PUESTO DE SALUD YURA,40128,4,AREQUIPA,3,AREQUIPA CAYLLOMA,11,CIUDAD DE DIOS,1254,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,YURA
1255,PUESTO DE SALUD LLUTA,40511,4,AREQUIPA,3,AREQUIPA CAYLLOMA,11,CIUDAD DE DIOS,1255,7,GOBIERNO REGIONAL,AREQUIPA,CAYLLOMA,LLUTA
1256,PUESTO DE SALUD TAYA,40511,4,AREQUIPA,3,AREQUIPA CAYLLOMA,11,CIUDAD DE DIOS,1256,7,GOBIERNO REGIONAL,AREQUIPA,CAYLLOMA,LLUTA
1257,VICTOR RAUL HINOJOSA,40129,4,AREQUIPA,3,AREQUIPA CAYLLOMA,23,VICTOR RAUL HINOJOZA,1257,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO
1258,CENTRO DE SALUD SAN MARTIN DE SOCABAYA,40122,4,AREQUIPA,3,AREQUIPA CAYLLOMA,25,SAN MARTIN DE SOCABAYA,1258,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,SOCABAYA
1259,CENTRO DE SALUD JAVIER LLOSA GARCIA -  HUNTER,40107,4,AREQUIPA,3,AREQUIPA CAYLLOMA,22,HUNTER,1259,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,JACOBO HUNTER
1260,CENTRO DE SALUD TIABAYA,40123,4,AREQUIPA,3,AREQUIPA CAYLLOMA,24,TIABAYA,1260,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,TIABAYA
1261,CENTRO DE SALUD DE CHARACATO,40105,4,AREQUIPA,3,AREQUIPA CAYLLOMA,21,CHARACATO,1261,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,CHARACATO
1262,PUESTO DE SALUD POLOBAYA,40114,4,AREQUIPA,3,AREQUIPA CAYLLOMA,21,CHARACATO,1262,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,POLOBAYA
1263,"13 DE ENERO",40129,4,AREQUIPA,3,AREQUIPA CAYLLOMA,23,VICTOR RAUL HINOJOZA,1263,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO
1264,CENTRO DE SALUD LAS ESMERALDAS,40129,4,AREQUIPA,3,AREQUIPA CAYLLOMA,23,VICTOR RAUL HINOJOZA,1264,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO
1266,FELIX NAQUIRA VILDOSO,40129,4,AREQUIPA,3,AREQUIPA CAYLLOMA,23,VICTOR RAUL HINOJOZA,1266,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO
1267,CERRO JULI,40129,4,AREQUIPA,3,AREQUIPA CAYLLOMA,23,VICTOR RAUL HINOJOZA,1267,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO
1268,CENTRO DE SALUD 4 DE OCTUBRE,40122,4,AREQUIPA,3,AREQUIPA CAYLLOMA,25,SAN MARTIN DE SOCABAYA,1268,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,SOCABAYA
1269,PUESTO DE SALUD CIUDAD MI TRABAJO,40122,4,AREQUIPA,3,AREQUIPA CAYLLOMA,25,SAN MARTIN DE SOCABAYA,1269,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,SOCABAYA
1270,PUESTO DE SALUD LARA,40122,4,AREQUIPA,3,AREQUIPA CAYLLOMA,25,SAN MARTIN DE SOCABAYA,1270,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,SOCABAYA
1271,CENTRO DE SALUD SAN FERNANDO,40122,4,AREQUIPA,3,AREQUIPA CAYLLOMA,25,SAN MARTIN DE SOCABAYA,1271,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,SOCABAYA
1272,PUESTO DE SALUD SALAVERRY,40122,4,AREQUIPA,3,AREQUIPA CAYLLOMA,25,SAN MARTIN DE SOCABAYA,1272,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,SOCABAYA
1273,PUESTO DE SALUD DANIEL ALCIDES CARRION,40107,4,AREQUIPA,3,AREQUIPA CAYLLOMA,22,HUNTER,1273,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,JACOBO HUNTER
1274,PUESTO DE SALUD AMPLIACION PAMPAS DEL CUZCO,40107,4,AREQUIPA,3,AREQUIPA CAYLLOMA,22,HUNTER,1274,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,JACOBO HUNTER
1275,CHILPINILLA,40107,4,AREQUIPA,3,AREQUIPA CAYLLOMA,22,HUNTER,1275,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,JACOBO HUNTER
1276,PUESTO DE SALUD CAMINOS DEL INCA,40107,4,AREQUIPA,3,AREQUIPA CAYLLOMA,22,HUNTER,1276,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,JACOBO HUNTER
1277,ALTO ALIANZA,40107,4,AREQUIPA,3,AREQUIPA CAYLLOMA,22,HUNTER,1277,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,JACOBO HUNTER
1279,PUESTO DE SALUD UPIS PAISAJISTA,40107,4,AREQUIPA,3,AREQUIPA CAYLLOMA,22,HUNTER,1279,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,JACOBO HUNTER
1280,CERRO VERDE,40124,4,AREQUIPA,3,AREQUIPA CAYLLOMA,24,TIABAYA,1280,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,UCHUMAYO
1281,CONGATA,40124,4,AREQUIPA,3,AREQUIPA CAYLLOMA,24,TIABAYA,1281,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,UCHUMAYO
1282,PUESTO DE SALUD SACHACA,40117,4,AREQUIPA,3,AREQUIPA CAYLLOMA,10,YANAHUARA,1282,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,SACHACA
1283,PUESTO DE SALUD PAMPA DE CAMARONES,40117,4,AREQUIPA,3,AREQUIPA CAYLLOMA,10,YANAHUARA,1283,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,SACHACA
1284,PUESTO DE SALUD LEOPOLDO RONDON - SABANDIA,40116,4,AREQUIPA,3,AREQUIPA CAYLLOMA,21,CHARACATO,1284,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,SABANDIA
1285,PUESTO DE SALUD MOLLEBAYA,40111,4,AREQUIPA,3,AREQUIPA CAYLLOMA,21,CHARACATO,1285,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,MOLLEBAYA
1286,PUESTO DE SALUD QUEQUEÑA,40115,4,AREQUIPA,3,AREQUIPA CAYLLOMA,21,CHARACATO,1286,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,QUEQUEÑA
1287,PUESTO DE SALUD YARABAMBA,40127,4,AREQUIPA,3,AREQUIPA CAYLLOMA,21,CHARACATO,1287,7,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,YARABAMBA
