"Codigo_Item","Descripcion_Item"
35142.0,"CORRECCIÓN DIRECTA DE ANEURISMA, PSEUDOANEURISMA, O ESCICIÓN (PARCIAL O TOTAL) E INSERCIÓN DE INJERTO (CON O SIN INJERTO DE PARCHE) EN ARTERIA COMUN FEMORAL (FEMORAL PROFUNDA Y SUPERFICIAL) POR RUPTURA DE ANEURISMA"
35151.0,"CORRECCIÓN DIRECTA DE ANEURISMA, PSEUDOANEURISMA, O ESCICIÓN (PARCIAL O TOTAL) E INSERCIÓN DE INJERTO (CON O SIN INJERTO DE PARCHE) EN ARTERIA POPLITEA POR ANEURISMA, SEUDOANEURISMA Y ENFERMEDAD OCLUSIVA ASOCIADA"
35152.0,"CORRECCIÓN DIRECTA DE ANEURISMA, PSEUDOANEURISMA, O ESCICIÓN (PARCIAL O TOTAL) E INSERCIÓN DE INJERTO (CON O SIN INJERTO DE PARCHE) EN ARTERIA POPLÍTEA POR RUPTURA DE ANEURISMA"
35180.0,CORRECCIÓN DE FÍSTULA ARTERIOVENOSA CONGÉNITA EN CABEZA Y CUELLO
35182.0,CORRECCIÓN DE FÍSTULA ARTERIOVENOSA CONGÉNITA EN TÓRAX Y ABDOMEN
35184.0,REPARACIÓN DE FÍSTULA ARTERIOVENOSA CONGÉNITA EN EXTREMIDADES
35188.0,CORRECCIÓN DE FÍSTULA ARTERIOVENOSA TRAUMÁTICA O ADQUIRIDA EN CABEZA Y CUELLO
35189.0,CORRECCIÓN DE FÍSTULA ARTERIOVENOSA ADQUIRIDA O TRAUMÁTICA EN TÓRAX Y ABDOMEN
35190.0,CORRECCIÓN DE FÍSTULA ARTERIOVENOSA ADQUIRIDA O TRAUMÁTICA EN EXTREMIDADES
35201.0,SUTURA DIRECTA DE VASO SANGUÍNEO; CUELLO
35206.0,SUTURA DIRECTA DE VASO SANGUÍNEO PERIFÉRICO EN EXTREMIDAD SUPERIOR
35207.0,SUTURA DIRECTA DE VASO SANGUÍNEO PERIFÉRICO EN MANO O DEDO
35211.0,SUTURA DIRECTA DE VASO SANGUÍNEO INTRATORÁCICO CON DERIVACIÓN
35216.0,SUTURA DIRECTA DE VASO SANGUÍNEO INTRATORÁCICO SIN DERIVACIÓN
35221.0,SUTURA DIRECTA DE VASO SANGUÍNEO INTRAABDOMINAL
35226.0,SUTURA DIRECTA DE VASO SANGUÍNEO EN EXTREMIDAD INFERIOR
35231.0,"SUTURA DE VASO SANGUÍNEO CON INJERTO VENOSO, EN CUELLO"
35236.0,"SUTURA DE VASO SANGUÍNEO CON INJERTO VENOSO, EN EXTREMIDAD SUPERIOR"
35241.0,REPARACIÓN DE VASO SANGUÍNEO INTRATORÁCICO CON INJERTO VENOSO CON DERIVACIÓN
35246.0,REPARACIÓN DE VASO SANGUÍNEO INTRATORÁCICO CON INJERTO VENOSO SIN DERIVACIÓN
35251.0,REPARACIÓN DE VASO SANGUÍNEO INTRAABDOMINAL CON INJERTO VENOSO
35256.0,REPARACIÓN DE VASO SANGUÍNEO EN EXTREMIDAD INFERIOR CON INJERTO VENOSO
35261.0,REPARACIÓN DE VASO SANGUÍNEO PERIFÉRICO CON INJERTO QUE NO SEA VENOSO EN CUELLO
35266.0,REPARACIÓN DE VASO SANGUÍNEO PERIFÉRICO CON INJERTO QUE NO SEA VENOSO EN EXTREMIDAD SUPERIOR
35271.0,"REPARACIÓN DE VASO SANGUÍNEO INTRATORÁCICO CON INJERTO QUE NO SEA VENOSO, CON DERIVACION"
35276.0,"REPARACIÓN DE VASO SANGUÍNEO INTRATORÁCICO CON INJERTO QUE NO SEA VENOSO, SIN DERIVACION"
35281.0,REPARACIÓN DE VASO SANGUÍNEO INTRAABDOMINAL CON INJERTO QUE NO SEA VENOSO
35286.0,REPARACIÓN DE VASO SANGUÍNEO EN EXTREMIDAD INFERIOR CON INJERTO QUE NO SEA VENOSO
35301.0,"TROMBOENDARTERECTOMÍA INCLUYENDO PARCHE DE INJERTO, SI SE REALIZARA, DE LA ARTERIA CARÓTIDA, VERTEBRAL O SUBCLAVIA MEDIANTE INCISIÓN EN EL CUELLO"
35302.0,"TROMBOENDARTERECTOMÍA INCLUYENDO PARCHE DE INJERTO, SI SE REALIZARA, DE LA ARTERIA FEMORAL SUPERFICIAL"
35303.0,"TROMBOENDARTERECTOMÍA INCLUYENDO PARCHE DE INJERTO, SI SE REALIZARA, DE LA ARTERIA POPLÍTEA"
35304.0,"TROMBOENDARTERECTOMÍA INCLUYENDO PARCHE DE INJERTO, SI SE REALIZARA, DE LA ARTERIA DEL TRONCO TIBIO PERONEO"
35305.0,"TROMBOENDARTERECTOMÍA INCLUYENDO PARCHE DE INJERTO, SI SE REALIZARA, DE LA ARTERIA TIBIAL O PERONEA, VASO SANGUÍNEO INICIAL"
35306.0,"TROMBOENDARTERECTOMÍA INCLUYENDO PARCHE DE INJERTO, SI SE REALIZARA, CADA ARTERIA TIBIAL O PERONEA ADICIONAL (REGISTRAR SEPARADAMENTE ADEMÁS DEL CÓDIGO PARA EL PROCEDIMIENTO PRIMARIO)"
35311.0,"TROMBOENDARTERECTOMÍA INCLUYENDO PARCHE DE INJERTO, SI SE REALIZARA, DE LA ARTERIA SUBCLAVIA O INNOMINADA MEDIANTE INCISIÓN TORACICIA"
35321.0,"TROMBOENDARTERECTOMÍA INCLUYENDO PARCHE DE INJERTO, SI SE REALIZARA, DE LA ARTERIA AXILAR O BRAQUIAL"
35331.0,"TROMBOENDARTERECTOMÍA, INCLUYENDO PARCHE DE INJERTO, SI SE REALIZARA, DE ARTERIA AORTA ABDOMINAL"
35341.0,"TROMBOENDARTERECTOMÍA, INCLUYENDO PARCHE DE INJERTO, SI SE REALIZARA, DE LA ARTERIA MESENTÉRICA, CELIACA O RENAL"
35351.0,"TROMBOENDARTERECTOMÍA INCLUYENDO PARCHE DE INJERTO, SI SE REALIZARA, DE LA ARTERIA ILIACA"
35355.0,"TROMBOENDARTERECTOMÍA INCLUYENDO PARCHE DE INJERTO, SI SE REALIZARA, DE LA ARTERIA ILIOFEMORAL"
35361.0,"TROMBOENDARTERECTOMÍA COMBINADA DE ARTERIAS AORTA E ILÍACA, INCLUYENDO PARCHE DE INJERTO, SI SE REALIZARA"
35363.0,"TROMBOENDARTERECTOMÍA COMBINADA A NIVEL AORTOILIOFERMORAL, INCLUYENDO PARCHE DE INJERTO, SI SE REALIZARA"
35371.0,"TROMBOENDARTERECTOMÍA DE LA ARTERIA FEMORAL COMÚN, INCLUYENDO PARCHE DE INJERTO, SI SE REALIZARA"
35372.0,"TROMBOENDARTERECTOMÍA DE LA ARTERIA FEMORAL PROFUNDA, INCLUYENDO PARCHE DE INJERTO, SI SE REALIZARA"
35381.0,"TROMBOENDARTERECTOMÍA DE LA ARTERIA FEMORAL Y/O POPLÍTEA Y/O TIBIOPERONEA, INCLUYENDO PARCHE, SI ES NECESARIO"
35390.0,"REOPERACIÓN DE TROMBOENDARTERECTOMÍA DE LA CARÓTIDA, MÁS DE UN MES DESPUÉS DE LA OPERACIÓN ORIGINAL (REGISTRAR SEPARADAMENTE ADEMÁS DEL CÓDIGO PARA EL PROCEDIMIENTO PRIMARIO)"
35400.0,ANGIOSCOPÍA (VASOS NO CORONARIOS O INJERTOS) DURANTE UNA INTERVENCIÓN TERAPÉUTICA (REGISTRAR SEPARADAMENTE ADEMÁS DEL CÓDIGO DEL PROCEDIMIENTO PRIMARIO)
35450.0,ANGIOPLASTÍA CON BALÓN TRANSLUMINAL ABIERTA DE ARTERIAL RENAL U OTRA ARTERIA VISCERAL
35452.0,ANGIOPLASTÍA ABIERTA CON BALÓN TRANSLUMINAL DE ARTERIA AORTA
35454.0,ANGIOPLASTÍA ABIERTA CON BALÓN TRANSLUMINAL DE ARTERIA ILIACA
35456.0,ANGIOPLASTÍA ABIERTA CON BALÓN TRANSLUMINAL DE ARTERIA FEMORO-POPLITEA
35458.0,"ANGIOPLASTÍA ABIERTA CON BALÓN TRANSLUMINAL DE TRONCO BRAQUIOCEFÁLICO O SUS RAMAS, CADA VASO SANGUÍNEO"
35459.0,ANGIOPLASTÍA ABIERTA CON BALÓN TRANSLUMINAL DE TRONCO TIBIOPERONEO Y SUS RAMÁS
35460.0,ANGIOPLASTÍA ABIERTA CON BALÓN TRANSLUMINAL DE VENA
35470.0,ANGIOPLASTÍA CON BALÓN TRANSLUMINAL PERCUTÁNEA
35471.0,ANGIOPLASTÍA PERCUTÁNEA CON BALÓN TRANSLUMINAL DE ARTERIAL RENAL U OTRA ARTERIA VISCERAL
35472.0,ANGIOPLASTÍA PERCUTÁNEA CON BALÓN TRANSLUMINAL DE ARTERIAL AORTA
35473.0,ANGIOPLASTÍA PERCUTÁNEA CON BALÓN TRANSLUMINAL DE ARTERIA ILÍACA
35474.0,ANGIOPLASTÍA PERCUTÁNEA CON BALÓN TRANSLUMINAL DE ARTERIA FEMORO-POPLÍTEA
35475.0,"ANGIOPLASTÍA PERCUTÁNEA CON BALÓN TRANSLUMINAL DE TRONCO BRAQUIOCEFÁLICO O SUS RAMÁS, CADA VASO SANGUÍNEO"
35476.0,ANGIOPLASTÍA PERCUTÁNEA CON BALÓN TRANSLUMINAL DE VENA
35480.0,"ATERECTOMÍA PERIFÉRICA TRANSLUMINAL, ABIERTA"
35490.0,"ATERECTOMÍA PERIFÉRICA TRANSLUMINAL, PERCUTÁNEA"
35500.0,PREPARACIÓN DE UN SEGMENTO DE VENA DEL MIEMBRO SUPERIOR PARA DERIVACIÓN CORONARIA (BYPASS) O PERIFÉRICA DE EXTREMIDAD INFERIOR (REGISTRAR SEPARADAMENTE ADEMÁS DEL CÓDIGO PARA EL PROCEDIMIENTO PRIMARIO)
35501.0,DERIVACIÓN SANGUÍNEA CON INJERTO DE VENA ENTRE LA ARTERIA CARÓTIDA COMÚN Y EL MISMO LADO DE ARTERIA CARÓTIDA INTERNA
35506.0,DERIVACIÓN SANGUÍNEA CON INJERTO DE VENA ENTRE LA ARTERIA CARÓTIDA Y LA ARTERIA SUBCLAVIA O VICEVERSA
35508.0,DERIVACIÓN SANGUÍNEA CON INJERTO DE VENA ENTRE LA ARTERIA CARÓTIDA Y LA ARTERIA VERTEBRAL
35509.0,DERIVACIÓN SANGUÍNEA CON INJERTO DE VENA ENTRE LA ARTERIA CARÓTIDA Y LA ARTERIA CAROTIDA CONTRALATERAL
35510.0,DERIVACIÓN SANGUÍNEA CON INJERTO DE VENA ENTRE LA ARTERIA CARÓTIDA Y LA ARTERIA BRAQUIAL
35511.0,DERIVACIÓN SANGUÍNEA CON INJERTO DE VENA ENTRE LA ARTERIA SUBCLAVIA Y LA ARTERIA SUBCLAVIA
35512.0,DERIVACIÓN SANGUÍNEA CON INJERTO DE VENA ENTRE LA ARTERIA SUBCLAVIA Y LA ARTERIA BRAQUIAL
35515.0,DERIVACIÓN SANGUÍNEA CON INJERTO DE VENA ENTRE LA ARTERIA SUBCLAVIA Y LA ARTERIA VERTEBRAL
35516.0,DERIVACIÓN SANGUÍNEA CON INJERTO DE VENA ENTRE LA ARTERIA SUBCLAVIA Y LA ARTERIA AXILAR
35518.0,DERIVACIÓN SANGUÍNEA CON INJERTO DE VENA ENTRE LA ARTERIA AXILAR Y LA ARTERIA AXILAR
35521.0,DERIVACIÓN SANGUÍNEA CON INJERTO DE VENA ENTRE LA ARTERIA AXILAR Y LA ARTERIA FEMORAL
35522.0,DERIVACIÓN SANGUÍNEA CON INJERTO DE VENA ENTRE LA ARTERIA AXILAR Y LA ARTERIA BRAQUIAL
35523.0,DERIVACIÓN SANGUÍNEA CON INJERTO DE VENA ENTRE LA ARTERIA BRAQUIAL Y LA ARTERIA CUBITAL O ARTERIA RADIAL
35525.0,DERIVACIÓN SANGUÍNEA CON INJERTO DE VENA ENTRE LA ARTERIA BRAQUIAL Y LA ARTERIA BRAQUIAL
35526.0,BY PASS (AORTO CORONARIO) AORTOSUBCLAVIA O CAROTIDA
35531.0,DERIVACIÓN SANGUÍNEA CON INJERTO DE VENA ENTRE LA ARTERIA AORTA Y LA ARTERIA CELÍACA O ENTRE LA ARTERIA AORTA Y LA ARTERIA MESENTÉRICA
35533.0,"DERIVACIÓN SANGUÍNEA CON INJERTO DE VENA ENTRE LA ARTERIA AXILAR, LA ARTERIA FEMORAL Y LA ARTERIA FEMORAL CONTRALATERAL"
35535.0,"INJERTO DE BYPASS, CON VENA; HEPATORENAL"
35536.0,DERIVACIÓN SANGUÍNEA CON INJERTO DE VENA ENTRE LA ARTERIA ESPLÉNICA Y LA ARTERIA RENAL
35537.0,DERIVACIÓN SANGUÍNEA CON INJERTO DE VENA ENTRE LA ARTERIA AORTA Y LA ILÍACA
35538.0,DERIVACIÓN SANGUÍNEA CON INJERTO DE VENA ENTRE LA ARTERIA AORTA Y LAS ARTERIAS ILÍACAS
35539.0,DERIVACIÓN SANGUÍNEA CON INJERTO DE VENA ENTRE LA ARTERIA AORTA Y LA ARTERIA FEMORAL
35540.0,DERIVACIÓN SANGUÍNEA CON INJERTO DE VENA ENTRE LA ARTERIA AORTA Y LAS ARTERIAS FEMORALES
35541.0,BY-PASS AORTO - ILIACO O BIILIACO
35546.0,BY-PASS AORTO-FEMORAL O BIFEMORAL
35548.0,"DERIVACIÓN SANGUÍNEA CON INJERTO DE VENA ENTRE LAS ARTERIAS AORTA, ILIACA Y FEMORAL UNILATERAL"
35549.0,DERIVACIÓN SANGUÍNEA CON INJERTO DE VENA ENTRE LAS ARTERIAS AORTA Y FEMORAL BILATERAL
35551.0,"DERIVACIÓN SANGUÍNEA CON INJERTO DE VENA ENTRE LA ARTERIA AORTA, FEMORAL Y POPLITEA"
35556.0,DERIVACIÓN SANGUÍNEA CON INJERTO DE VENA ENTRE LA ARTERIA FEMORAL Y LA ARTERIA POPLITEA
35558.0,DERIVACIÓN SANGUÍNEA CON INJERTO DE VENA ENTRE LAS ARTERIAS FEMORALES
35560.0,DERIVACIÓN SANGUÍNEA CON INJERTO DE VENA ENTRE LA ARTERIA AORTA Y LAS ARTERIA RENAL
35563.0,DERIVACIÓN SANGUÍNEA CON INJERTO DE VENA ENTRE LAS ARTERIAS ILÍACAS
35565.0,DERIVACIÓN SANGUÍNEA CON INJERTO DE VENA ENTRE LA ARTERIA ILÍACA Y LA ARTERIA FEMORAL
35566.0,"DERIVACIÓN SANGUÍNEA CON INJERTO DE VENA ENTRE LA ARTERIAS FEMORAL, TIBIAL ANTERIOR, TIBIAL POSTERIOR, PERONEA U OTRO VASO SANGUÍNEO DISTANTE"
35570.0,"INJERTO DE BYPASS, CON VENA; TIBIAL-TIBIAL, PERONEAL-TIBIAL, O TIBIAL/PERONEAL-TRONCO DE LA TIBIAL"
35571.0,"DERIVACIÓN SANGUÍNEA CON INJERTO DE VENA ENTRE LAS ARTERIAS POPLITEA, TIBIALES, PERONEA U OTRO VASO SANGUINEO DISTANTE"
35681.0,PREPARACIÓN DE INJERTO DE DERIVACIÓN SANGUÍNEA COMBINADO: VENA Y PROSTÉTICO (REGISTRAR SEPARADAMENTE ADEMÁS DEL CÓDIGO PRIMARIO)
35572.0,"EXTRACCIÓN Y DISECCIÓN DE UN SEGMENTO DE LA VENA FEMOROPOPLITEA PARA SU UTILIZACIÓN EN PROCEDIMIENTOS DE RECONSTRUCCIÓN VASCULAR (P. EJ. A{ORTICO, VENA CAVA, CORONARIA, ARTERIA PERIFÉRICA) (CODIFICAR SEPARADAMENTE EN ADICIÓN AL CÓDIGO DEL PROCEDIMIENTO PR"
35583.0,DERIVACIÓN VENOSA IN-SITU; FEMORAL-POPLÍTEA
35585.0,"DERIVACIÓN VENOSA IN-SITU; FEMORAL-TIBIAL ANTERIOR, TIBIAL POSTERIOR O ARTERIA PERONEA"
35587.0,"DERIVACIÓN VENOSA IN-SITU; POPLÍTEA-TIBIAL, PERONEA"
35600.0,EXTRACCIÓN Y DISECCIÓN DE UN SEGMENTO DE ARTERIA DE MIEMBRO SUPERIOR PARA SU UTILIZACIÓN COMO INJERTO EN UNA DERIVACIÓN CARDÍACA (CODIFICAR SEPARADAMENTE EN ADICIÓN AL CÓDIGO DEL PROCEDIMIENTO PRIMARIO)
35601.0,"COLOCACIÓN DE INJERTO DE DERIVACIÓN SANGUÍNEA, QUE NO SEA DE VENA, ENTRE LA ARTERIA CARÓTIDA COMÚN Y LA ARTERIA CARÓTIDA INTERNA DEL MISMO LADO"
35606.0,"COLOCACIÓN DE INJERTO DE DERIVACIÓN SANGUÍNEA, QUE NO SEA DE VENA, ENTRE LA ARTERIA CARÓTIDA Y LA ARTERIA SUBCLAVIA"
35612.0,"COLOCACIÓN DE INJERTO DE DERIVACIÓN SANGUÍNEA, QUE NO SEA DE VENA, ENTRE LA ARTERIA SUBCLAVIA Y LA ARTERIA SUBCLAVIA"
35616.0,"COLOCACIÓN DE INJERTO DE DERIVACIÓN SANGUÍNEA, QUE NO SEA DE VENA, ENTRE LA ARTERIA SUBCLAVIA Y LA ARTERIA AXILAR"
35621.0,"COLOCACIÓN DE INJERTO DE DERIVACIÓN SANGUÍNEA, QUE NO SEA DE VENA, ENTRE LA ARTERIA AXILAR Y LA ARTERIA FEMORAL"
35623.0,"COLOCACIÓN DE INJERTO DE DERIVACIÓN SANGUÍNEA, QUE NO SEA DE VENA, ENTRE LA ARTERIA AXILAR Y LA ARTERIA POPLITEA O TIBIAL"
35626.0,"COLOCACIÓN DE INJERTO DE DERIVACIÓN SANGUÍNEA, QUE NO SEA DE VENA, ENTRE LA ARTERIA AORTA Y LA ARTERIA SUBCLAVIA O CARÓTIDA"
35631.0,"COLOCACIÓN DE INJERTO DE DERIVACIÓN SANGUÍNEA, QUE NO SEA DE VENA, ENTRE LA ARTERIA AORTA Y LA ARTERIA CELÍACA, MESENTÉRICA O RENAL"
35632.0,"INJERTO DE BYPASS, QUE NO SEA DE VENA; ILIO-CELIACA"
35633.0,"INJERTO DE BYPASS, QUE NO SEA DE VENA; ILIO-MESENTÉRICA"
35634.0,"INJERTO DE BYPASS, QUE NO SEA DE VENA; ILIORENAL"
35636.0,"COLOCACIÓN DE INJERTO DE DERIVACIÓN SANGUÍNEA, QUE NO SEA DE VENA, ENTRE LA ARTERIA ESPLÉNICA Y LA ARTERIA RENAL"
35637.0,"COLOCACIÓN DE INJERTO DE DERIVACIÓN SANGUÍNEA, QUE NO SEA DE VENA, ENTRE LA ARTERIA AORTA Y LA ARTERIA ILÍACA"
35638.0,"COLOCACIÓN DE INJERTO DE DERIVACIÓN SANGUÍNEA, QUE NO SEA DE VENA, ENTRE LA ARTERIA AORTA Y LAS 2 ARTERIAS ILÍACAS"
35642.0,"COLOCACIÓN DE INJERTO DE DERIVACIÓN SANGUÍNEA, QUE NO SEA DE VENA, ENTRE LA ARTERIA CARÓTIDA Y LA ARTERIA VERTEBRAL"
35645.0,"COLOCACIÓN DE INJERTO DE DERIVACIÓN SANGUÍNEA, QUE NO SEA DE VENA, ENTRE LA ARTERIA SUBCLAVIA Y LA ARTERIA VERTEBRAL"
35646.0,"COLOCACIÓN DE INJERTO DE DERIVACIÓN SANGUÍNEA, QUE NO SEA DE VENA, ENTRE LA ARTERIA AORTA Y LAS ARTERIAS FEMORALES"
35647.0,"COLOCACIÓN DE INJERTO DE DERIVACIÓN SANGUÍNEA, QUE NO SEA DE VENA, ENTRE LA ARTERIA AORTA Y LA ARTERIA FEMORAL"
35650.0,"COLOCACIÓN DE INJERTO DE DERIVACIÓN SANGUÍNEA, QUE NO SEA DE VENA, ENTRE LA ARTERIA AXILAR Y LA ARTERIA AXILAR"
35651.0,"COLOCACIÓN DE INJERTO DE DERIVACIÓN SANGUÍNEA, QUE NO SEA DE VENA, ENTRE LA ARTERIA AORTA, ARTERIA FEMORAL Y ARTERIA POPLÍTEA"
35654.0,"COLOCACIÓN DE INJERTO DE DERIVACIÓN SANGUÍNEA, QUE NO SEA DE VENA, ENTRE LA ARTERIA AXILAR, ARTERIA FEMORAL Y ARTERIA FEMORAL CONTRALATERAL"
35656.0,"COLOCACIÓN DE INJERTO DE DERIVACIÓN SANGUÍNEA, QUE NO SEA DE VENA, ENTRE LA ARTERIA FEMORAL Y LA ARTERIA POPLÍTEA"
35661.0,"COLOCACIÓN DE INJERTO DE DERIVACIÓN SANGUÍNEA, QUE NO SEA DE VENA, ENTRE ARTERIAS FEMORALES"
35663.0,"COLOCACIÓN DE INJERTO DE DERIVACIÓN SANGUÍNEA, QUE NO SEA DE VENA, ENTRE LA ARTERIAS ILÍACAS"
35665.0,"COLOCACIÓN DE INJERTO DE DERIVACIÓN SANGUÍNEA, QUE NO SEA DE VENA, ENTRE LA ARTERIA ILÍACA Y LA ARTERIA FEMORAL"
35666.0,"COLOCACIÓN DE INJERTO DE DERIVACIÓN SANGUÍNEA, QUE NO SEA DE VENA, ENTRE LA ARTERIAS FEMORAL, TIBIAL ANTERIOR, TIBIAL POSTERIOR O PERONEAL"
35671.0,"COLOCACIÓN DE INJERTO DE DERIVACIÓN SANGUÍNEA, QUE NO SEA DE VENA, ENTRE LA ARTERIA POPLÍTEA Y LA ARTERIA TIBIAL O PERONEA"
35682.0,PREPARACIÓN DE INJERTO VENOSO AUTÓLOGO PARA DERIVACIÓN SANGUÍNEA CON 2 SEGMENTOS VENOSOS PROVENIENTES DE 2 LOCALIZACIONES (REGISTRAR SEPARADAMENTE DE MANERA ADICIONAL AL REGISTRO DEL PROCEDIMIENTO PRIMARIO)
35683.0,PREPARACIÓN DE INJERTO VENOSO AUTÓLOGO PARA DERIVACIÓN SANGUÍNEA CON 3 O MÁS SEGMENTOS VENOSOS PROVENIENTES DE 2 O MÁS LOCALIZACIONES (REGISTRAR SEPARADAMENTE DE MANERA ADICIONAL AL REGISTRO DEL PROCEDIMIENTO PRIMARIO)
35685.0,COLOCACIÓN DE PARCHE O INJERTO VENOSO EN EL EXTREMO DISTAL DE UNA ANASTOMOSIS REALIZADA CON UN INJERTO DE DERIVACIÓN O CONDUCTO SINTÉTICO (REGISTRAR SEPARADAMENTE DE MANERA ADICIONAL AL REGISTRO DEL PROCEDIMIENTO PRIMARIO)
35686.0,"CREACIÓN DE UNA FÍSTULA ARTERIOVENOSA DISTAL DURANTE UNA CIRUGÍA DE DERIVACIÓN EN LA EXTREMIDAD INFERIOR, (SE EXCLUYE LA LOS PROCEDIMIENTOS RELACIONADOS A LA HEMODIÁLISIS) (REGISTRAR SEPARADAMENTE DE MANERA ADICIONAL AL REGISTRO DEL PROCEDIMIENTO PRIMARIO"
35691.0,TRANSPOSICIÓN Y/O REIMPLANTE DE LA ARTERIA VERTEBRAL HACIA LA ARTERIA CARÓTIDA
35693.0,TRANSPOSICIÓN Y/O REIMPLANTE DE LA ARTERIA VERTEBRAL HACIA LA ARTERIA SUBCLAVIA
35694.0,TRANSPOSICIÓN Y/O REIMPLANTE DE LA ARTERIA SUBCLAVIA HACIA LA ARTERIA CARÓTIDA
35695.0,TRANSPOSICIÓN Y/O REIMPLANTE DE LA ARTERIA CARÓTIDA HACIA LA ARTERIA SUBCLAVIA
35697.0,"REIMPLANTACIÓN DE UNA ARTERIA VISCERAL HACIA UNA PRÓTESIS AÓRTICA INFRARRENAL, REGISTRAR CADA ARTERIA (REGISTRAR SEPARADAMENTE DE MANERA ADICIONAL AL PROCEDIMIENTO PRIMARIO)"
35700.0,"REOPERACIÓN A NIVEL DE ARTERIAS FEMORAL- POPLÍTEA O FEMORAL (POPLÍTEA)-TIBIAL ANTERIOR, TIBIAL POSTERIOR, PERONEA, U OTROS VASOS DISTALES MÁS ALLÁ DE 1 MES POSTERIOR A LA OPERACIÓN ORIGINAL (REGISTRAR SEPARADAMENTE ADEMÁS DEL CÓDIGO DE PROCEDIMIENTO PRIMA"
35701.0,EXPLORACIÓN DE ARTERIA CAROTIDA (NO SEGUIDA DE CORRECCIÓN QUIRÚRGICA) CON O SIN LIBERACIÓN DE TEJIDOS CIRCUNDANTES
35721.0,EXPLORACIÓN DE ARTERIA FEMORAL (NO SEGUIDA DE CORRECCIÓN QUIRÚRGICA) CON O SIN LIBERACIÓN DE TEJIDOS CIRCUNDANTES
35741.0,EXPLORACIÓN DE ARTERIA POPLÍTEA (NO SEGUIDA DE CORRECCIÓN QUIRÚRGICA) CON O SIN LIBERACIÓN DE TEJIDOS CIRCUNDANTES
35761.0,EXPLORACIÓN DE OTROS VASOS SANGUINEOS (NO SEGUIDA DE CORRECCIÓN QUIRÚRGICA) CON O SIN LIBERACIÓN DE TEJIDOS CIRCUNDANTES
35800.0,"EXPLORACIÓN VASCULAR DEL CUELLO POR HEMORRAGIA POSTOPERATORIA, TROMBOSIS O INFECCIÓN"
35820.0,"EXPLORACIÓN VASCULAR DEL TÓRAX POR HEMORRAGIA POSTOPERATORIA, TROMBOSIS O INFECCIÓN"
35840.0,"EXPLORACIÓN VASCULAR DEL ABDOMEN POR HEMORRAGIA POSTOPERATORIA, TROMBOSIS O INFECCIÓN"
35860.0,"EXPLORACIÓN VASCULAR DE UNA EXTREMIDAD POR HEMORRAGIA POSTOPERATORIA, TROMBOSIS O INFECCIÓN"
35870.0,CORRECCIÓN DE FÍSTULA INJERTO-ENTÉRICA
35875.0,"TROMBECTOMÍA DE INJERTO VENOSO O ARTERIAL, (EXCLUYENDO AQUELLOS PROCEDIMIENTOS REALIZADOS EN INJERTO O FÍSTULA DE HEMODIÁLISIS)"
35876.0,"TROMBECTOMÍA DE INJERTO VENOSO O ARTERIAL CON REVISIÓN DEL INJERTO VENOSO O ARTERIAL, (EXCLUYENDO AQUELLOS PROCEDIMIENTOS REALIZADOS EN INJERTO O FÍSTULA DE HEMODIÁLISIS)"
35879.0,"REVISIÓN ABIERTA DE DERIVACIÓN ARTERIAL DE EXTREMIDAD INFERIOR CON ANGIOPLASTÍA VENOSA TIPO PARCHE, SIN TROMBECTOMÍA"
35881.0,"REVISIÓN ABIERTA DE DERIVACIÓN ARTERIAL DE EXTREMIDAD INFERIOR CON INTERPOSICIÓN VENOSA SEGMENTARIA, SIN TROMBECTOMÍA"
35883.0,"REVISIÓN ABIERTA DE ANASTOMOSIS FEMORAL REALIZADA CON INJERTO ARTERIAL SINTÉTICO EN LA INGLE; CON INJERTO NO AUTÓLOGO TIPO PARCHE (P. EJ. DACRON, PERICARDIO BOVINO)"
35884.0,REVISIÓN ABIERTA DE ANASTOMOSIS FEMORAL REALIZADA CON INJERTO DE DERIVACIÓN ARTERIAL SINTÉTICO EN LA INGLE; CON INJERTO VENOSO AUTÓLOGO TIPO PARCHE
35901.0,ESCICIÓN DE INJERTO VASCULAR INFECTADO DEL CUELLO
35903.0,ESCICIÓN DE INJERTO VASCULAR INFECTADO DE EXTREMIDAD
35905.0,ESCICIÓN DE INJERTO VASCULAR INFECTADO DE TÓRAX
35907.0,ESCICIÓN DE INJERTO VASCULAR INFECTADO DE ABDOMEN
36000.0,INTRODUCCIÓN DE AGUJA O CATÉTER EN VENA PERIFÉRICA
36002.0,INYECCIÓN DE MÉDICAMENTOS (P. EJ. TROMBINA) PARA EL TRATAMIENTO PERCUTÁNEO DE UN SEUDOANEURISMA EN UNA EXTREMIDAD
36005.0,INYECCIÓN DE MÉDICAMENTOS PARA UNA FLEBOGRAFÍA EN UNA EXTREMIDAD. (INCLUYE LA INTRODUCCIÓN DE UNA AGUJA O CATÉTER)
36010.0,INTRODUCCIÓN DE UN CATÉTER EN LA VENA CAVA SUPERIOR O INFERIOR
36011.0,"COLOCACIÓN SELECTIVA DE CATÉTERES EN LAS RAMÁS DE PRIMER ORDEN DEL SISTEMA VENOSO (P. EJ. VENA RENAL, VENA YUGULAR)"
36012.0,"COLOCACIÓN SELECTIVA DE CATÉTERES EN LAS RAMÁS DE SEGUNDO ORDEN O SELECTIVAS DEL SISTEMA VENOSO (P. EJ. VENA ADRENAL IZQUIERDA, SENO PETROSO)"
