"Codigo","Nombre"
"29887","Artroscopía, rodilla, quirúrgica; trepanado para lesión de osteocondritis disecante intacta, con Fijación interna"
"29888","Corrección, aumento, o Reconstrucción de ligamento cruzado anterior asistidos por artroscopía"
"29889","Corrección, aumento, o Reconstrucción de ligamento cruzado posterior asistidos por artroscopía"
"29891","Artroscopía, tobillo, quirúrgica; Escisión de defecto osteocondral del astrágalo y/o tibia, incluyendo Trepanación del defecto"
"29892","Corrección asistida por artroscopía de lesión grande causada por osteocondritis disecante, fractura del domo del astrágalo, o fractura de plafon tibial, con o sin Fijación interna (incluye artroscopía)"
"29893",Fasciotomía plantar endoscopica
"29894","Artroscopía, tobillo (articulaciónes tibioastragalina y peroneoastragalina), quirúrgica; con Extirpación de cuerpo suelto o de cuerpo extraño"
"29895","Artroscopía, tobillo (articulaciónes tibioastragalina y peroneoastragalina), quirúrgica; sinovectomía, parcial"
"29897","Artroscopía, tobillo (articulaciónes tibioastragalina y peroneoastragalina), quirúrgica; desbridamiento, limitado"
"29898","Artroscopía, tobillo (articulaciónes tibioastragalina y peroneoastragalina), quirúrgica; desbridamiento, amplio"
"29899","Artroscopía, tobillo (articulación tibiotalar o fibulotalar), quirúrgica; con artrodesis de tobillo"
"29900","Artroscopía, articulación metacarpofalángica, diagnóstica, incluye biopsia sinovial"
"29901","Artroscopía, articulación metacarpofalángica, quirúrgica; con Debridación"
"29902","Artroscopía, articulación metacarpofalángica, quirúrgica; con reducción del desplazamiento del ligamento colateral lunar (p ej lesión de Stenar"
"29904","Artroscopía, articulación subtalar, quirúrgica; con Remoción de cuerpo flotante o cuerpo extraño"
"29905","Artroscopía, articulación subtalar, quirúrgica; con sinovectomía"
"29906","Artroscopía, articulación subtalar, quirúrgica; con Debridación"
"29907","Artroscopía, articulación subtalar, quirúrgica; con artrodesis subtalar"
"29914","Artroscopía, cadera, quirúrgica; con femoroplastía (pej: para tratamiento de lesión tipo CAM)"
"29915","Artroscopía, cadera, quirúrgica; con acetabuloplastía (pej: para tratamiento de lesión tipo pincer)"
"29916","Artroscopía, cadera, quirúrgica; con Reparación del rodete cotiloideo (labrum)"
"29999","Procedimiento no listado, artroscopía"
"30000","Drenaje de absceso o hematoma nasal, abordaje interno"
"30020",Drenaje de absceso o hematoma del septum nasal
"30100",Biopsia intranasal
"30110",Escisión de polipo nasal simple
"30115",Escisión de polipo(s) nasal extenso
"30117",Escisión o Destrucción de lesión intranasal a través de abordaje interno
"30118",Escisión o Destrucción de lesión intranasal a través de abordaje externo (rinotomía lateral)
"30120",Escisión o dermoabrasión de piel de la nariz debido a rinofima
"30124","Escisión de quiste dermoide simple de nariz, subcutánea"
"30125",Escisión de quiste dermoide complejo de nariz; debajo de hueso o cartílago
"30130","Escisión de cornete nasal inferior parcial o completa, cualquier método"
"30140","Resección submucosa de cornete nasal inferior, parcial o completa, cualquier método"
"30150",Rinectomía parcial
"30160",Rinectomía total
"30200",Inyección terapéutica dentro del cornete nasal
"30210",Terapia de desplazamiento (de tipo Proetz)
"30220",Inserción de prótesis de tabique nasal (botón)
"30300",Extirpación de cuerpo extraño intranasal simple (similar al procedimiento de consultorio externo)
"30310",Extirpación de cuerpo extraño intranasal con necesidad de anestesia general
"30320",Extirpación de cuerpo extraño intranasal a través de rinotomía lateral
"30400",Rinoplastía primaria con modificacion de los cartílagos alares y laterales y/o elevación de la punta nasal
"30410","Rinoplastía primaria completa con modificacion de partes externas incluyendo la pirámide ósea, cartílagos laterales y alares, y/o elevación de la punta nasal"
"30420",Rinoplastía primaria; incluyendo corrección del tabique nasal
"30430",Rinoplastía Secundaria con revisión menor (trabajo sobre la punta de la nariz)
"30435",Rinoplastía secundaria con revisión intermedia (trabajo sobre el hueso con osteotomías)
"30450",Rinoplastía secundaria con revisión mayor (trabajo sobre la punta de la nariz y osteotomías)
"30460","Rinoplastía por deFormación nasal secundaria a labio y/o paladar hendidos congénitos, incluyendo alargamiento de columela, solamente la punta"
"30462","Rinoplastía por deFormación nasal secundaria a labio y/o paladar hendidos congénitos, incluyendo alargamiento de columela; punta, tabique, osteotomías"
"30465","Reparación de Estenosis nasal vestibular (p ej Injerto en espátula, Reconstrucción de la pared lateral nasal)"
"30520","Septoplastía o Resección submucosa del septum nasal, con o sin raspado de cartílago, contorneo o reemplazo con injerto"
"30540",Corrección de atresia de coana; vía intranasal
"30545",Corrección de atresia de coana; vía transpalatina
"30560",Lisis de sinequia intranasal
"30580","Corrección de fístula oromaxilar u oronasal (combinar con 31030, si es que se incluye antrotomía)"
"30600",Reparación de fístula oronasal
"30620",Dermatoplastia septal u otra dermatoplastia intranasal (no incluye la obtención del injerto)
"30630",Corrección de Perforaciónes del tabique nasal
"30801","Ablación de tejido blando de cornete nasal inferior, unilateral o bilateral, con cualquier método (p ej Electrocauterio, ablación por radiofrecuencia o reducción de volumen); superficial"
"30802","Ablación de tejido blando de cornete nasal inferior, unilateral o bilateral, con cualquier método (p ej Electrocauterio, ablación por radiofrecuencia o reducción de volumen); intramural (p ej Submucosa)"
"30901",Control de hemorragia nasal con Cauterización y/o taponamiento nasal anterior simple (limitado a Cauterización y/o taponamiento con gasa)
"30903",Control de hemorragia nasal con Cauterización y/o taponamiento nasal anterior complejo (uso extenso de cauterio y/o taponamiento con gasa)
"30905",Control de hemorragia nasal con Cauterización y/o taponamiento nasal posterior usando paquetes de gasa y/o cauterio Procedimiento inicial
"30906",Control de hemorragia nasal con Cauterización y/o taponamiento nasal posterior usando paquetes de gasa y/o cauterio Procedimiento subsecuente
"30915",Ligadura de arterias; etmoidales
"30920","Ligadura de arteria arteria maxilar interna, transantral"
"30930","Fractura de cornetes nasales inferior(es), terapéutica"
"30999",Procedimientos no listados para nariz
"31000",Lavado del seno maxilar por canulación (Punción del antro u ostium natural)
"31002",Lavado del seno esfenoidal por canulación (Punción del antro u ostium natural)
"31020",Sinusotomía maxilar (antrotomía); intranasal
"31030",Sinusotomía maxilar radical (Caldwell-Luc) sin Extirpación de polipos antrocoanales
"31032","Sinusotomía, maxilar (antrotomía); radical (Caldwell-Luc) con Extirpación de polipos antrocoanales"
"31040","Cirugía de la fosa pterigomaxilar, cualquier abordaje"
"31050","Sinusotomía esfenoidal, con o sin biopsia"
"31051","Sinusotomía, esfenoides, con o sin biopsia; con denudacion de la mucosa o Extirpación de polipos"
"31070","Sinusotomía frontal; externa, simple (con Trepanación)"
"31075","Sinusotomía frontal; transórbital, unilateral (para mucocele u osteoma, tipo Lynch)"
"31080","Sinusotomía frontal; obliterativa sin colgajo osteoplástico, Incisión de la frente (incluye ablación)"
"31081","Sinusotomía frontal; obliterativa sin colgajo osteoplástico, Incisión coronal (incluye ablación)"
"31084","Sinusotomía frontal; obliterativa, con colgajo osteoplástico, Incisión de la frente"
"31085","Sinusotomía frontal; obliterativa, con colgajo osteoplástico, Incisión coronal"
"31086","Sinusotomía frontal; no obliterativa, con colgajo osteoplástico, Incisión de la frente"
"31087","Sinusotomía frontal; no obliterativa, con colgajo osteoplástico, Incisión coronal"
"31090","Sinusotomía: unilateral, tres o más senos paranasales (frontal, maxilar, etmoidal, esfenoidal)"
"31200","Etmoidectomía; intranasal, anterior"
"31201","Etmoidectomía; intranasal, total"
"31205","Etmoidectomía; extranasal, total"
"31225",Maxilectomía sin exenteración órbitaria
"31230",Maxilectomía; con exenteración órbitaria (en bloque)
"31231",Endoscopía nasal diagnóstica unilateral o bilateral (procedimiento separado)
"31233","Endoscopía nasal/sinusoidal, diagnóstica con senoscopia maxilar (por vía del meato inferior o Punción de la fosa canina)"
"31235","Endoscopía nasal/sinusoidal, diagnóstica con sinuscopia esfenoidal (vía Punción de la cara esfenoidal o canulación del ostium sinusoidal)"
"31237","Endoscopía nasal/sinusoidal terapéutica, con biopsia, y debridamiento o polipectomía (procedimiento separado)"
"31238","Endoscopía nasal/sinusoidal, quirúrgica; con control de epistaxis"
"31239","Endoscopía nasal/sinusoidal, quirúrgica; con dacriocistorinostomia"
"31240","Endoscopía nasal/sinusoidal, quirúrgica; con Resección de cornete bulloso"
"31254",Endoscopía nasal/sinusoidal terapéutica con etmoidectomía parcial anterior
"31255","Endoscopía nasal/sinusoidal, quirúrgica; con etmoidectomía, total (anterior y posterior)"
"31256","Endoscopía nasal/sinusoidal, quirúrgica, con antrostomía maxilar"
"31267","Endoscopía nasal/sinusoidal, quirúrgica, con antrostomía maxilar; con Extirpación de tejido del seno maxilar"
"31276","Endoscopía nasal/sinusoidal, quirúrgica con Exploración del seno frontal, con o sin Extirpación de tejido del seno frontal"
"31287","Endoscopía nasal/sinusoidal, quirúrgica, con esfenoidotomía"
"31288","Endoscopía nasal/sinusoidal, quirúrgica, con esfenoidectomía; con Extirpación de tejido del seno esfenoidal"
"31290",Endoscopía nasal/sinusoidal para corrección de escape de líquido cefalorraquideo de la región etmoidal
"31291",Endoscopía nasal/sinusoidal para corrección de escape de líquido cefalorraquideo de la región esfenoidal
"31292",Endoscopía nasal/sinusoidal para descompresión del contenido de la pared órbitaria media o inferior
"31293","Endoscopía nasal/sinusoidal, quirúrgica; con descompresión de la pared órbitaria medial y descompresión de la pared órbitaria inferior"
"31294","Endoscopía nasal/sinusoidal, quirúrgica con descompresión del nervio óptico"
"31295","Endoscopía quirúrgica nasal/sinusal; con Dilatación del ostium del seno maxilar (p ej Dilatación con balón), transnasal o por via de la fosa canina"
"31296",Endoscopía quirúrgica nasal/sinusal; con Dilatación del ostium del seno frontal (p ej Dilatación con balón)
"31297",Endoscopía quirúrgica nasal/sinusal; con Dilatación del ostium del seno esfenoidal (p ej Dilatación con balón)
"31299",Procedimiento de los senos paranasales que no aparece en la lista
"31300","Laringotomía (tirotomía, laringofisura); con extirpación de tumor o laringocele y cordectomía"
"31320","Laringotomía diagnóstica (tirotomía, fisura de laringe); diagnóstica"
"31360","Laringuectomía total, sin disección radical del cuello"
"31365","Laringuectomía total, con disección radical del cuello"
"31367","Laringuectomía subtotal supraglotica, sin disección radical del cuello"
"31368","Laringuectomía subtotal supraglotica, con disección radical del cuello"
"31370",Laringuectomía parcial (hemilaringuectomía); horizontal
"31375",Laringuectomía parcial (hemilaringuectomía); laterovertical
"31380",Laringuectomía parcial (hemilaringuectomía); anterovertical
"31382",Laringuectomía parcial (hemilaringuectomía); antero-latero-vertical
"31390","Faringolaringuectomía, con disección radical del cuello; sin rectonstruccion"
"31395","Faringolaringuectomía, con disección radical del cuello; con rectonstruccion"
"31400","Aritenoidectomía o Aritenoidopexia, abordaje externo"
"31420",Epiglotidectomía
"31500","Intubación endotraqueal, procedimiento de emergencia, urgencia o electivo"
"31500.01","Intubacion endotraqueal asistida con fibroscopio (reutilizable, descartable, rígido y/o flexible)"
"31500.02",Intubacion endotraqueal asistida con videolaringoscopio
"31502",Cambio de tubo de traqueostomía anterior al establecimiento de tracto fistuloso
"31505","Laringoscopía indirecta, diagnóstica (procedimiento separado)"
"31510","Laringoscopía, indirecta con biopsia"
"31511","Laringoscopía, indirecta; con Extirpación de cuerpo extraño"
"31512","Laringoscopía, indirecta; con Extirpación de lesión"
"31513","Laringoscopía, indirecta; con inyección de cuerda vocal"
"31515","Laringoscopía directa, con o sin traqueoscopía; para aspiración"
"31520","Laringoscopía directa, con o sin traqueoscopía; diagnóstica, en recién nacido"
"31525","Laringoscopía directa, con o sin traqueoscopía; diagnóstica, excepto en recién nacido"
"31526","Laringoscopía directa, con o sin traqueoscopía; diagnóstica, con microscopio quirúrgico"
"31527","Laringoscopía directa, con o sin traqueoscopía; con Inserción de obturador"
"31528","Laringoscopía directa, con o sin traqueoscopía; con Dilatación, inicial"
"31529","Laringoscopía directa, con o sin traqueoscopía; con Dilatación, subsiguiente"
"31530","Laringoscopía, directa, operatoria, con Extirpación de cuerpo extraño"
"31531","Laringoscopía, directa, operatoria, con Extirpación de cuerpo extraño; con microscopio quirúrgico"
"31535","Laringoscopía, directa, operatoria, con biopsia"
"31536","Laringoscopía, directa, operatoria, con biopsia; con microscopio quirúrgico o telescopio"
"31540","Laringoscopía, directa, operatoria, con Escisión de tumor y/o denudado de cuerdas vocales o epiglotis"
"31541","Laringoscopía, directa, operatoria, con Escisión de tumor y/o denudado de cuerdas vocales o epiglotis; con microscopio quirúrgico"
"31545","Laringoscopía, directa, operatoria, con Operación de microscopio o telescopio con Remoción submucosa de lesión (lesiones) no-neoplásica de cuerdas locales, Reconstrucción con colgajo de tejido local"
"31546","Laringoscopía, directa, operatoria, con Operación de microscopio o telescopio con Remoción submucosa de lesión (lesiones) no-neoplásica de cuerdas locales, Reconstrucción con injertos (incluye obtención de autoinjerto)"
"31560","Laringoscopía, directa, operatoria, con aritenoidectomía"
"31561","Laringoscopía, directa, operatoria, con aritenoidectomía; con microscopio quirúrgico"
"31570","Laringoscopía terapéutica directa, con Inyección en cuerdas vocales"
"31571","Laringoscopía, directa, con Inyección en cuerdas vocales, terapéutica; con microscopio quirúrgico"
"31575","Laringoscopía, fibra óptica flexible; diagnóstica"
"31576","Laringoscopía, fibra óptica flexible; con biopsia"
"31577","Laringoscopía, fibra óptica flexible; con Extirpación de cuerpo extraño"
"31578","Laringoscopía, fibra óptica flexible; con Extirpación de lesión"
"31579","Laringoscopía, fibra óptica flexible o rígida, con estroboscopia"
"31580","Laringoplastía para membrana laríngea, en dos estadios, con Inserción y Remoción de quilla"
"31582","Laringoplastia; para estenosis laríngea, con injerto o molde luminal, incluyendo traqueostomía"
"31584",Laringoplastia; con reducción abierta de fractura
"31587","Laringoplastia, fisura del cartílago cricoides"
"31588","Laringoplastía, sin otra especificacion (p ej por quemaduras, Reconstrucción después de Laringuectomía parcial)"
"31590",Reinervacion laríngea por pedículo neuromuscular
"31595","Sección del nervio laríngeo recurrente, terapéutica (procedimiento separado), unilateral"
"31596","Extirpación de lesiones de cuerdas vocales con microcirugía (nodulo, papilomas)"
"31599",Procedimiento no listado de Laringe
"31600","Traqueostomía, planificada (procedimiento separado)"
"31601","Traqueostomía, planificada (procedimiento separado); en menor de 2 años"
"31603","Traqueostomía, procedimiento de emergencia; transtraqueal"
"31605",Traqueostomía transtraqueal de emergencia a través de membrana de cartílago cricotiroideo
"31610","Traqueostomía, procedimiento de fenestración con colgajos cutáneos"
"31611","Construcción de fístula traqueoesofágica e Inserción subsiguiente de prótesis para habla no laríngea (pej: botón de voz, prótesis de Blom-Singer)"
"31612",Punción traqueal percutánea con aspiración y/o Inyección transtraqueal
"31613",Revisión de traqueostomía simple sin rotación de Flap
"31614",Revisión de Traqueostomía compleja sin rotacion de Flap
"31615",Broncoscopía a traves de Incisión de traqueostomía establecida
"31620",Ecografía endobronquial (EBUS) durante una intervencion diagnóstica o terapéutica con broncoscopio Registrar por separado adicionalmente al código del procedimiento primario
"31622","Broncoscopía, rígida o flexible, incluye la guía fluoroscopica, cuando se realice, con lavado de células, cuando se realice (procedimiento separado)"
"31623","Broncoscopía, rígida o flexible, incluye guía fluoroscopica, cuando se realice, con cepillado simple o protegido"
"31624","Broncoscopía, rígida o flexible, incluye guía fluoroscopica, cuando se realice, con lavado bronquioalveolar"
"31625","Broncoscopía, rígida o flexible, incluye guía fluoroscopica, cuando se realice, con biopsia(s) bronquial o endobronquial, de sitio único o múltiples"
"31626","Broncoscopía, rígida o flexible, incluyendo la guía fluorosopica cuando sea realizada; con Colocación de marcadores o reparos, único o múltiple"
"31627","Broncoscopía, rígida o flexible, incluyendo la guía fluorosopica cuando sea realizada; con desplazamiento asistido por computadora y guiado por imágenes (registrar por separado además del código para el procedimiento[s] primario)"
"31628","Broncoscopía, rígida o flexible, incluyendo guía fluoroscopica, cuando se realice, con biopsia(s) transbronquial(es) de pulmon, un solo lobulo"
"31629","Broncoscopía, rígida o flexible, incluyendo guía fluoroscopica, cuando se realice, con biopsia(s) transbronquial(es) de aspiración con aguja, traquea, bronquio principal y/o bronquio lobar"
"31630","Broncoscopía, rígida o flexible, incluyendo guía fluoroscopica, cuando se realice, con Dilatación traqueal/bronquial o reducción cerrada de fractura"
"31631","Broncoscopía, rígida o flexible, incluyendo guía fluoroscopica, cuando se realice, con Colocación de stent(s) traqueal(es) (incluye Dilatación traqueal/bronquial si fuera necesario)"
"31632","Broncoscopía incluyendo guia fluoroscopica, cuando se realice, para obtener biopsia(s) transbronquial(es) de pulmon, cada lobulo pulmonar adicional (registrar por separado adicionalmente al código del procedimiento primario)"
"31633","Broncoscopía, incluyendo guia fluoroscopica, cuando se realice; con biopsia(s) transbronquial(es) por aspiración con aguja, cada lobulo pulmonar adicional (Registrar por separado adicionalmente al código del procedimiento primario)"
"31634","Broncoscopía, rígida o flexible, incluyendo guía fluoroscopica, cuando esta se realiza; con oclusión con balón, con Evaluación de fuga de aire, con administración de sustancia oclusiva (p ej Tapon de fibrina), si se realiza"
"31635","Broncoscopía, incluyendo guia fluoroscopica, cuando se realice, y Remoción de cuerpo extraño"
"31636","Broncoscopía, incluyendo guia fluoroscopica, cuando se realice; con Colocación de stent bronquiales (incluye Dilatación de tráquea o bronquios si se requiere), bronquio inicial"
"31637","Broncoscopía, incluyendo guia fluoroscopica, cuando se realice; Colocación de stent bronquiales adicionales, cada uno (Registrar por separado adicionalmente al código del procedimiento primario)"
"31638","Broncoscopía, incluyendo guia fluoroscopica, cuando se realice; revisión de stent traquel o bronquial colocado previamente (incluye Dilatación de tráquea o bronquios si se requiere)"
"31640","Broncoscopía, incluyendo guia fluoroscopica, cuando se realice; con Escisión de tumor"
"31641","Broncoscopía, incluyendo guia fluoroscopica, cuando se realice; con Destrucción de tumor o Liberación de estenosis con otro método diferente de la Escisión (pej: láser o crioterapia)"
"31643","Broncoscopía, incluyendo guía fluoroscopica, cuando se realice; con Colocación de catéter(es) para Aplicación de radioelementos intracavitarios"
"31645","Broncoscopía, incluyendo guía fluoroscopica, cuando se realice, con aspiración terapéutica del arbol bronquial (pej: drenaje de absceso pulmonar), procedimiento inicial"
"31646","Broncoscopía, incluyendo guía fuoroscopica, cuando se realice, con aspiración terapéutica del arbol bronquial (pej: drenaje de absceso pulmonar) Procedimiento(s) subsecuente(s)"
"31647","Broncoscopía, rígida o flexible, incluyendo guía fluoroscopica, cuando esta se realiza; con oclusión con balón, con Evaluación de fuga de aire, medicion de vías aéreas, e Inserción de válvula(s) bronquial(es), lobulo inicial"
"31648","Broncoscopía, rígida o flexible, incluyendo guía fluoroscopica, cuando esta se realiza; con Remoción de válvula(s) bronquial(es), lobulo inicial"
"31649","Broncoscopía, rígida o flexible, incluyendo guía fluoroscopica, cuando esta se realiza; con Remoción de válvula(s) bronquial(es), cada lobulo adicional (registrar adicionalmente al código para el procedimiento primario)"
"31651","Broncoscopía, rígida o flexible, incluyendo guía fluoroscopica, cuando se realiza; con oclusión por balón, cuando se realiza, evaluacon de fuga de aire, medicion de vías aéreas, e Inserción de valvula(s) bronquial(es), cada lobulo adicional (registrar separadamente además del código para el procedimiento(s) primario(s))"
"31656",Broncoscopía con Inyección de material de contraste para broncografía segmentaria
"31660","Broncoscopía, rígida o flexible, incluyendo guía fluoroscopica, cuando se realiza; con termoplastía bronquial, un lobulo"
"31661","Broncoscopía, rígica o flexible, incluyendo guía fluoroscopica, cuando se realiza; con termoplastía bronquial, dos o más lobulos"
"31700","Catéterizacion, transglotica (procedimiento separado)"
"31710","Catéterizacion para broncografía, con o sin instilacion de material de contraste"
"31715",Inyección transtraqueal para broncografía
"31717",Catéterizacion con biopsia de cepillado bronquial
"31720",Aspiración nasotraqueal con cáteter
"31720.01",Aspiración de secreciónes
"31720.02",Aspiración de secreciónes por circuito cerrado o continua
"31725","aspiración traqueobronquialcon cáteter y fibroscopio, en cama de internamiento (procedimiento separado)"
"31730",Introducción transtraqueal (percutánea) de un dilatador/stent con aguja guía o de un catéter tunelizado para oxigenoterapia
"31750","Traqueoplastía, cervical"
"31755","Traqueoplastía; Fistulización traqueofaringea, cada estadío"
"31760","Traqueoplastía, intratorácica"
"31766",Reconstrucción de carina traqueal
"31770",Broncoplastía; Reparación con injerto
"31775",Broncoplastía; excision de la estenosis y anastomosis
"31780","Escisión de estenosis traqueal y anastomosis, nivel cervical"
"31781","Escisión de estenosis traqueal y anastomosis, nivel cervico-torácico"
"31785",Escisión de tumor o carcinoma traqueal: nivel cervical
"31786",Escisión de tumor o carcinoma traqueal: nivel torácico
"31800","Sutura de herida o lesión traqueal, nivel cervical"
"31805","Sutura de herida o lesión traqueal, nivel torácico"
"31820",Cierre quirúrgico de traqueostomía o fístula; sin plastia
"31820.01",Curación de traqueostomía
"31825",Cierre quirúrgico de traqueostomía o fístula; con plastia
"31830",Revisión de cicatriz de traqueostomía
"31899",Procedimiento en traquea o bronquios no listado anteriormente
"32005",Pleurodesis
"32005.01",Pleurodesis por Abrasión/química
"32035","Toracostomía, ventana torácica (con Resección de costilla) para drenaje de empiema"
"32036","Toracostomía; con drenaje a través de colgajo abierto, por empiema"
"32095","Toracotomía, limitada, para biopsia pulmonar o pleural"
"32096","Toracotomía, con biopsia(s) diagnóstica(s) de infiltrado(s) pulmonar(es) (p ej Cuña, Incisiónal) unilateral"
"32097","Toracotomía, con biopsia(s) diagnóstica(s) de nodulo(s) o masa(s) pulmonar(es) (p ej Cuña, Incisiónal) unilateral"
"32098","Toractomía, con biopsia(s) de pleura"
"32100","Toracotomía, con Exploración"
"32110","Toracotomía, con control de hemorragia traumática y/o Reparación de laceración pulmonar"
"32120","Toracotomía, por complicaciones postoperatorias"
"32124","Toracotomía, con neumolisis intrapleural abierta"
"32140","Toracotomia, con drenaje de quiste(s), incluye procedimiento pleural cuando se realice"
"32141","Toracotomía, con Escisión o plicatura de bulas (bulectomia), incluye cualquier procedimiento pleural, cuando se realice"
"32150","Toracotomía, con Remoción de cuerpo extraño extrapleural o de depositos de fibrina"
"32151","Toracotomía, con Remoción de cuerpo extraño intrapulmonar"
"32160","Toracotomía, con masaje cardiaco"
"32200",Neumonostomía con drenaje abierto de absceso o quiste
"32201",Neumonostomía; con drenaje percutáneo de absceso o quiste
"32215",Tratamiento quirúrgico (escarificacion) de neumotorax a repeticion
"32220",Decorticacion pulmonar total (procedimiento separado)
"32225",Decorticacion pulmonar parcial (procedimiento separado)
"32310",Pleurectomía parietal (procedimiento separado)
"32320",Decorticacion y pleurectomía parietal
"32400","Biopsia, pleura; aguja percutánea"
"32402","Biopsia, pleura; abierta"
"32405","Biopsia, pulmon o mediastino, aguja percutánea"
"32420",Pneumonocentesis; Punción de pulmon para aspiración
"32421","Toracocentesis, para aspiración, primera vez o subsecuente"
"32422","Drenaje torácico con tubo de drenaje, incluye sistema de sello bajo agua (p ej neumotorax)"
"32440",Neumonectomía total
"32442",Neumonectomía total con Resección de segmento de tráquea seguido de anastomosis broncotraqueal
"32445","Neumonectomía total, extrapleural"
"32480",Lobectomía pulmonar
"32482",Bilobectomía pulmonar
"32484",Segmentectomía pulmonar
"32486",Resección de tejido pulmonar que incluye la Escisión circunferencial de segmento de bronquio seguido de anastomosis bronquio-bronquial
"32488","Resección de pulmon remanente, posterior a cualquier Remoción parcial de pulmon"
"32491","Remoción parcial de pulmon enfisematoso (buloso o no buloso) para reducción de volumen pulmonar, via transtorácica o transesternal, incluye cualquier procedimiento pleural, cuando se realice"
"32500","Remoción pulmonar en cuña, única o múltiple"
"32501",Resección y Reparación de porción de bronquio cuando se realiza al momento de una Lobectomía o Segmentectomía (registrar separadamente además del código para el procedimiento primario)
"32503","Resección de tumor apical pulmonar (ej tumor de Pancoast), incluye Resección de pared torácica, Resección de costilla (s), disección neurovascular si es necesaria, sin rectonstrucion de pared torácica"
"32505","Toracotomía, con Resección terapéutica en cuña (p ej Masa, nodulo), inicial"
"32506","Toracotomía, con Resección terapéutica en cuña (p ej Masa, nodulo), cada Resección adicional, ipsilateral (registrar adicionalmente al código del procedimiento primario)"
"32507","Toractomía, con Resección diagnóstica en cuña seguida de Resección pulmonar anatómica (registrar adicionalmente al código de procedimiento principal)"
"32540",Enucleación extrapleural de empiema (empiemectomía)
"32550",Inserción de catéter pleural tunelizado con sistema de Rectolección al vacío
"32504","Resección de tumor apical pulmonar (ej tumor de Pancoast), incluye Resección de pared torácica, Resección de costilla (s), disección neurovascular si es necesaria, con rectonstrucion de pared torácica"
"32551","Toracostomía con tubo, incluye conexión a sistema de drenaje (p ej sello de agua), cuando se realice abierto (procedimiento separado)"
"32552","Remoción de catéter pleural insertado en tunel, con manga"
"32553","Colocación de dispositivo(s) intersticial(es) para la Orientación de la terapia de Radiación (marcadores de rastreo, dosímetro), percutáneo, intratorácico, único o múltiple"
"32554","Toracocentesis, con aguja o catéter, aspiración del espacio pleural; sin guía de imágenes"
"32555","Toracocentesis, con aguja o catéter, aspiración del espacio pleural; con guía de imágenes"
"32556","Drenaje pleural percutáneo, con Inserción de catéter autoretentivo, sin guía de imágenes"
"32557","Drenaje pleural percutáneo, con Inserción de catéter autoretentivo, con guía de imágenes"
"32560","Instilacion, mediante tubo/catéter torácico, de agende para pleurodesis (pej: talco para neumotorax recurrente o persistente)"
"32561",Instilacion(es) vía catéter/tubo torácico de agente de fibrinolisis (p ej agente fibrinolítico para el manejo de un derrame multiloculado); día inicial
"32562",Instilacion(es) vía catéter/tubo torácico de agente de fibrinolisis (p ej agente fibrinolítico para el manejo de un derrame multiloculado); días subsiguientes
"32601","Toracoscopia diagnóstica de pulmones, saco pericárdico, mediastino o espacio pleural, sin biopsia (procedimiento separado)"
"32602","Toracoscopia diagnóstica de pulmones y espacio pleural, con biopsia"
"32603","Toracoscopia diagnóstica de saco pericárdico, sin biopsia"
"32604","Toracoscopia diagnóstica de saco pericárdico, con biopsia (procedimiento separado)"
"32605","Toracoscopia diagnóstica de mediastino, sin biopsia"
"32606","Toracoscopia diagnóstica de mediastino, con biopsia (procedimiento separado)"
"32607","Toracoscopia; con biopsia(s) diagnóstica(s) de infiltrado(s) pulmonar(es) (ej cuña, Incisiónal), unilateral"
"32608","Toracoscopia, con biopsia(s) diagnóstica(s) de nodulo(s) o masa(s) pulmonar(es) (p ej Cuña, Incisiónal) unilateral"
"32609","Toracoscopia, con biopsia(s) de pleura"
"32650","Toracoscopia quirúrgica, con pleurodesis (p ej Mecánica o química)"
"32651",Decorticacion pulmonar parcial por toracoscopia quirúrgica
"32652","Decorticacion pulmonar total por toracoscopia, incluyendo neumonolisis intrapleural"
"32653",Extirpación de cuerpo extraño intrapleural o deposito de fibrina por toracoscopia
"32654",Toracoscopia con control de hemorragia traumática
"32655","Toracoscopia Reseccion/plicatura de bulas, incluye cualquier procedimiento pleural, cuando se realice"
"32656",Pleurectomía parietal por toracoscopia
"32657","Toracoscopia, quirúrgica; con Resección en cuña de pulmon, simple o múltiple"
"32658",Extirpación de coágulo o cuerpo extraño del saco pericárdico por toracoscopia
"32659",Creación de ventana pericárdica o Resección parcial de saco pericárdico para drenaje por toracoscopia
"32661","Escisión de quiste, tumor o mása pericárdicos por toracoscopia"
"32662","Escisión de quiste, tumor o mása mediastínicos por toracoscopia"
"32663",Lobectomía (lobulo único) por toracoscopia
"32664",Simpatectomía torácica por toracoscopia
"32665",Esofagomiotomía tipo Heller por toracoscopia
"32666","Toracoscopia quirúrgica; con Resección terapéutica en cuña (pej: masa, nodulo), inicial, unilateral"
"33031","Pericardiectomía parcial o completa, con circulación extracorporea"
"33050",Escisión de quiste o tumor pericárdico
"32667","Toracoscopia quirúrgica; con Resección terapéutica en cuña (pej: masa, nodulo), cada Resección ipsilateral adicional (registrar separadamente además del código para el procedimiento primario)"
"32668",Toracoscopia quirúrgica; con Resección diagnóstica en cuña seguida de Resección pulmonar anatómica (registrar separadamente además del código para el procedimiento primario)
"32669","Toracoscopia quirúrgica, con retiro de segmento pulmonar único (segmentectomía)"
"32670","Toracoscopia quirúrgica, con retiro de dos lobulos (bilobectomía)"
